Number,Width,Length,Height,Price,Description,Weight
6509432AA,0.38,0.75,0.25,2.5,Nut,0.02
5045516AA,0.31,8.00,0.31,3.17,"Push Rod",0.13
5086982AA,4.00,4.00,2.00,90,"Wheel Bearing",1.60
68277081AA,6.00,6.00,6.00,75,"Engine Mount",4.00
68295559AA,5.00,15.00,4.00,13.33,"Fog Light Bezel",0.60
2925062,0.75,0.75,0.06,5,"Retaining Ring",0.02
J5457112,8.00,2.00,16.00,30,"Tailgate Weatherstrip",0.50
68307245AE,7.50,10.25,5.00,90,"Parking Light",1.00
RT27064,1.50,7.50,1.25,9.75,"Seat Belt Extension Bracket",0.40
5038788AD,1.25,3.25,1.25,40,Lifter,0.31
6505223AA,0.75,0.75,0.50,2.83,"Spring Nut",0.02
RT28063,3.25,3.25,1.00,15,"LED Bulb Kit",0.02
1WL30TZZAD,19.00,70.50,11.00,283.34,Fascia,4.40
5080319AA,3.50,3.50,1.75,30,"Drive Belt Tensioner Pulley",0.30
J8125448,4.25,4.50,4.25,28.33,"Distributor Cap",0.60
5018442AA,41.00,43.00,2.50,100,Fender,7.50
68143891AA,18.00,31.50,5.00,200,"A/C Condenser & Transmission Cooler",9.00
J5351211,2.00,3.50,1.00,15.83,"Clutch Rod",0.20
5114332AA,7.00,6.00,11.00,450,"Clutch Slave Cylinder",0.90
5155459AK,11.25,15.50,7.00,95,Mirror,3.75
52038589,8.50,9.75,3.75,130,"Idler Arm",5.60
J3241867,3.00,10.00,3.00,67.6,"Clutch Slave Cylinder",1.80
J0934937,2.75,2.75,0.12,4.17,"Pinion Baffle",0.10
J8131656,4.00,4.00,4.00,56.67,Yoke,1.90
5140676AA,7.50,38.00,3.00,26.67,"Fuel Filter",0.30
5103017AA,10.50,11.25,9.75,766.67,"Differential Case Kit",23.50
68184783AB,3.75,20.50,3.75,46.67,"Camber Link",3.60
J0946707,4.00,20.00,1.00,10.83,"Accessory Drive Belt",0.40
5012670AC,32.00,42.00,11.50,183.33,Fender,5.50
RT28090,8.50,21.00,3.50,73.5,"LED Light Bar Windshield Bracket Set",10.40
4792443AB,1.25,3.50,1.25,91.67,"Timing Chain Tensioner",0.44
J3172135,3.25,1.25,3.25,21.67,"Pinion Bearing",0.60
11502843,0.31,0.63,0.31,0.83,Screw,0.02
68088819AA,11.13,16.50,2.50,20,"License Plate Bracket",1.00
5EU81HS5AA,34.50,72.00,18.50,312,Fascia,20.60
55176565K,2.00,31.00,2.00,48.34,"Door Glass Weatherstrip Kit",0.60
5019868AA,11.00,11.00,9.00,983.33,"Differential Case Kit",25.00
J5353263,4.00,8.00,3.00,20.83,"Shift Boot",0.60
J0994759,11.50,14.50,1.00,31.67,"Clutch Cable",1.40
J5752279,5.00,11.00,5.00,10,"Glove Box Compartment",0.50
J5355333,9.00,9.25,0.50,12.83,"Parking Brake Cable",0.30
J8124513,1.50,3.00,1.50,15,"Drum Brake Adjuster",0.30
55351281AE,2.75,15.00,2.25,200,"Steering Shaft",3.00
55135901AB,34.00,46.00,3.50,164.67,Fender,10.90
J5752395,9.50,11.50,1.50,20,"Speedometer Cable",0.80
J8126775,2.00,3.00,2.00,20,"Wheel Cylinder",1.30
4389437,1.50,20.25,1.50,18.33,"Wiper Arm",0.60
640762,3.00,3.00,3.00,26.67,"Temperature Gauge",0.40
J0800093,2.50,4.00,1.00,7.5,"Crankshaft Seal",0.10
83504529,2.75,4.25,2.25,26.67,"Wheel Cylinder",0.10
J3185971,1.75,1.75,0.50,2.58,"Pinion Crush Sleeve",0.10
J5752810,1.25,4.25,1.25,5,"Headlight Switch Knob",0.10
J0908331,14.00,14.00,3.00,283.33,"Ring & Pinion",16.30
J0941877,13.00,13.00,3.00,86.67,"Brake Drum",15.30
J0999923,1.00,27.50,1.00,18.33,"Accelerator Cable",0.10
4682396,10.25,10.50,4.75,22.5,"Radiator Hose",1.10
4862633AA,4.50,4.50,2.00,158.33,"Differential Carrier Bearing Set",1.50
J0640969,1.50,22.00,1.50,91.67,"Axle Shaft",7.10
5183148AC,11.00,13.00,1.50,130,"Heater Core",1.60
68111624AD,8.00,13.50,5.00,105,"Water Pump",5.20
J0994020,1.50,6.75,1.25,4.58,"Side Marker Light",0.10
4641944AC,4.00,8.00,4.00,125,"Clutch Slave Cylinder",9.80
52078551RL,5.00,7.00,0.50,31.67,"Shifter Park Release Link",0.02
J8126610,3.50,3.50,1.25,35,"Universal Joint",0.20
68141580AF,3.25,3.25,1.25,113.33,"Key Fob",0.13
4589176AC,7.50,8.00,4.75,75,"Liftgate Latch Actuator",2.00
SB30035,12.00,12.00,4.50,58.8,"Soft Top Storage Sleeve",3.31
4779451AD,3.00,19.00,3.00,25,"Brake Hose",0.50
J5752816,1.75,1.75,0.75,5,"Dash Light",0.02
5252956,7.00,31.00,7.00,191.67,"Axle Shaft",16.00
J5353851,3.00,3.00,2.00,7.5,"Leaf Spring Bushing",0.40
68273160AE,18.00,71.00,3.50,65,"Fascia Splash Shield",2.80
52019480AF,10.00,26.00,5.25,416.67,"Catalytic Converter",6.40
RT26080,14.25,24.00,4.25,297,"Grille Inserts",5.13
5105573AA,4.50,4.50,2.00,26.67,"Wheel Speed Sensor",0.31
J5362158,1.50,1.50,12.50,12.5,"Fuel Filler Hose",0.60
55113748AA,3.50,23.50,0.75,38.33,"Hood Support",0.60
55038177AE,10.00,54.00,7.00,76.67,"Transmission Cooler Hose Set",2.00
J5752771,5.50,5.75,2.50,23.33,"Parking Light",0.60
68154897AB,11.25,15.50,7.00,183.33,"Evaporator Core",4.40
5072437AB,3.00,13.50,1.00,35,"Accessory Drive Belt",0.80
68388751AA,9.25,9.50,9.25,310,"Differential Case Assembly",13.40
J8131660,6.00,6.25,3.25,108.33,"Output Shaft",4.10
RT28095,12.00,59.50,10.50,500,"LED Light Bar & Bracket Kit",35.40
RT31055,11.50,12.75,3.75,163.34,"Brake Line Kit",2.20
5XV45TZZAA,20.00,70.00,7.50,350,"Fascia Surround",3.40
68083202AC,2.50,4.00,2.50,30,"PCV Valve",0.20
TJXJ9702K,13.50,14.00,3.00,216.67,"Clutch Kit",17.00
52028987AB,5.50,15.00,3.25,20,"Radiator Hose",0.90
52029152AB,7.50,7.50,4.25,73.33,"Fan Clutch",3.00
5066245AA,1.00,4.00,0.75,2.67,"Anti-Rattle Clip",0.10
68417854AA,5.00,7.50,4.75,216.67,"Pinion Flange",3.80
J0999978,10.00,10.00,2.00,21.67,"Parking Brake Cable",1.30
5127562AC,8.25,16.25,6.75,315,"Fuel Module",3.10
4801778AI,8.00,9.75,6.50,483.33,Alternator,16.00
52037712AB,1.00,11.00,1.00,9.17,"Sway Bar Link",0.40
68253406AB,4.50,4.50,2.00,9.17,"Coil Spring Isolator",0.38
68249844AC,14.00,14.50,4.75,125,Mirror,4.20
RT29006,6.00,8.00,4.50,63.33,"Switch Plate",0.60
4766543AA,13.00,20.50,4.00,150,"Control Arm",12.30
52079884AA,2.00,2.50,2.00,10,"Radiator Isolator",0.13
J0630305,4.50,15.50,0.13,5.67,"Valve Cover Gasket",0.10
5017462K,21.00,22.00,3.50,81.67,"Door Weatherstrip Kit",3.60
52028985AC,5.50,17.00,3.75,17.5,"Radiator Hose",0.90
J5351821,14.00,14.00,1.50,70,Flexplate,5.60
J5355891,2.00,27.00,1.50,41.67,"Power Steering Pressure Hose",0.60
4694761AC,11.25,3.50,22.50,133.33,"Control Arm",11.00
52028986AB,5.00,9.00,3.50,15.83,"Radiator Hose",0.50
52005638K,2.25,7.00,2.00,23.33,"Sway Bar Link Kit",0.60
52088208AB,22.00,5.00,4.00,40,"Control Arm",3.10
J5358568,12.50,13.00,5.00,126.67,"Hub & Rotor Assembly",22.00
5014785AB,7.00,5.50,9.00,91.67,"Brake Caliper",4.50
68282329AA,12.50,12.50,5.00,125,"Control Arm",6.00
55037465AA,20.00,29.00,5.25,233.33,"A/C Condenser",8.30
68260466AB,2.50,4.00,2.50,31.67,"Steering Adjuster",0.40
RT35009,2.25,2.25,0.88,3,"Valve Cover Grommet",0.06
52079528AD,26.50,29.00,8.50,225,"Cooling Fan Module",14.90
6510197AA,3.00,5.00,0.50,0.75,Nut,0.02
J0802951,2.50,4.00,2.50,25,"Wheel Cylinder",1.30
4861401,3.00,16.00,1.00,20,"Accessory Drive Belt",0.10
J3217480,0.50,1.00,0.50,18.33,"Clutch Fork",0.10
68087900AA,4.00,15.00,2.25,175,"Transfer Case Chain",4.60
J3227329,0.50,9.50,0.50,2.5,"Push Rod",0.10
5189057AB,2.00,2.50,2.00,75,"Shift Solenoid",0.25
56049433AE,4.00,4.00,1.75,48.33,"Power Seat Switch",0.20
J5461816,3.00,3.00,2.00,6.33,"Headlight Dimmer Switch",0.30
68238602AA,9.50,16.50,7.00,250,"Evaporator Core",4.60
5078554AA,2.00,2.50,2.00,17.5,"Transmission Speed Sensor",0.13
5GJ63HS5AC,16.00,64.50,14.00,225,Fascia,7.40
J5462736,7.50,3.50,7.50,15,"Mirror Head",1.40
4721547AC,6.00,6.50,3.00,30,"Strut Mount",2.00
52059566AC,15.00,43.00,6.50,1133.33,"Exhaust Pipe",12.60
68249845AC,14.00,14.50,4.75,208.33,Mirror,4.20
56007243,2.00,4.75,1.50,40,Flasher,0.06
4721762AJ,6.00,6.00,6.00,141.67,"Hub Assembly",9.80
68295558AA,5.00,15.00,4.00,13.33,"Fog Light Bezel",0.60
52088453AB,5.50,17.50,1.50,60,"Power Steering Pressure Hose",1.00
J0923418,4.00,1.25,5.50,10.83,"Drag Link Repair Kit",0.40
68385238AA,6.00,6.50,3.00,63.34,"Brake Pad Set",3.40
6101484,0.50,0.75,0.12,0.75,"Mini Fuse",0.10
TN10215,11.00,12.00,6.00,55.49,"Tonneau Cover",4.44
8122874K,3.50,4.00,1.25,20.83,"Door Cylinder Kit",0.20
RT27060,1.00,18.00,0.50,15,Antenna,0.19
J0805328,3.50,3.50,1.50,58.33,"Pinion Bearing",1.20
5450558K,2.50,4.00,2.50,25.83,"Headlight Switch Kit",0.40
68227444AF,20.00,71.00,6.00,86.67,"Fascia Splash Shield",2.60
J3200197,1.75,3.00,1.25,11.67,"Points Set",0.10
J0639090,1.00,1.00,1.00,3.5,"Sector Shaft Bushing",0.10
5184273AD,3.25,3.25,1.25,53.33,"Oil Pump Drive Gear",0.31
68003215AD,2.50,8.00,2.50,75,"Wiper Switch",0.40
4897986AA,3.00,3.00,2.00,46.67,"Ignition Cylinder",0.30
4656730AH,20.00,21.50,3.00,141.67,"Control Arm",10.00
68233626AA,6.13,6.13,0.88,10.83,"Cabin Air Filter",0.13
52088632AB,14.50,14.50,4.75,96.67,"Control Arm",7.90
J0926671,2.75,2.75,1.00,4.17,"Transfer Case Mount",0.30
J0940555,1.50,1.50,0.25,3,"Sector Shaft Seal",0.10
55055059,11.00,37.25,2.50,108.34,Grille,3.10
J5361029,9.00,9.50,1.00,23.33,"Parking Brake Cable",0.90
J3241856,7.50,7.50,4.50,60,"Fan Clutch",3.30
68283229AA,3.00,5.00,1.00,2,Retainer,0.02
J5361026,0.75,36.00,0.75,21.67,"Parking Brake Cable",0.80
J5459552,5.25,6.50,5.00,11.67,"Tail Light Lens",0.30
55154944AB,6.00,8.25,5.25,120,"Wiper Motor",3.20
J3670544,1.25,3.00,0.75,9.17,"License Plate Light",0.10
J5457117,1.25,8.00,17.25,30,"Dash Overlay Panel",0.40
83500301,3.25,3.25,1.25,10.83,"Connecting Rod Bearing",0.40
52079716AC,11.50,29.00,6.50,70,"Radiator Hose",2.60
5184454AE,3.00,5.00,0.25,7.5,"Coolant Crossover Gasket",0.02
5047792AA,3.00,10.00,1.00,25,"Timing Chain Tensioner Arm",0.20
52000185,9.00,60.00,4.00,75,Bumper,17.00
J3210994,0.50,2.50,0.50,0.87,"Brake Shoe Pin",0.10
6105103AA,1.00,1.38,1.00,4,Bolt,0.06
52088778AA,2.25,2.50,1.75,2.6,"Sway Bar Bushing",0.40
J0800896,1.00,12.00,1.00,9.83,"Brake Hose",0.30
68376743AA,8.00,8.50,3.50,91.67,"Brake Caliper",6.80
68293713AA,4.50,6.50,2.00,5.83,"Fog Light Bracket",0.20
1VQ65TZZAA,23.00,78.00,22.00,250,Fascia,7.20
RT20046,15.00,40.00,14.00,470,Bumper,88.00
J3223199,3.25,3.25,1.25,26.67,"Crankshaft Sprocket",0.70
J5758255,8.00,4.50,6.00,45,"Tail Light",1.10
68003503AA,3.25,5.25,1.00,45,"Transmission Cooler Jumper Line Set",0.20
55057201AC,12.00,25.50,4.25,23.33,"Radiator Hose",1.40
J0648798,6.00,19.00,5.00,4.5,"Valve Cover Gasket",0.10
55395708AE,3.00,6.00,3.00,15.83,"B-Pillar Seal",0.31
J0957868,0.50,0.50,0.25,1.13,"Windshield Wiper Clip",0.10
J3241073,1.25,1.25,1.25,4.17,"Shift Knob Insert",0.10
5093276AA,2.25,2.25,0.13,2.17,"Brake Caliper Seal",0.02
53030492,2.00,2.50,2.00,7.5,"PCV Valve Elbow",0.06
52089256AC,4.00,15.50,2.00,20.83,"Brake Hose",0.40
68018109AA,3.50,3.75,1.75,31.67,"Blend Door Actuator",0.20
RT26089,1.25,3.88,0.25,6,"Trail Tool",0.13
J3241481,1.25,3.75,0.75,3.17,"Shift Lever Isolator",0.10
J3227691,7.00,22.00,0.50,15,"Accessory Drive Belt Set",0.40
4486860,6.00,6.75,5.25,225.33,"Hub Assembly",9.30
68302119AB,4.00,4.00,1.75,43.33,"Side Marker Light",0.13
55395702AE,0.75,3.25,0.75,9.17,"Door Hinge Pin",0.13
J3678907,2.50,5.50,2.00,15,"Window Handle",0.40
55397042AE,13.00,13.00,2.00,56.67,"Liftglass Seal",0.40
J3216049,5.50,13.50,4.00,46.67,"Oil Pump Screen",1.30
68143893AA,4.50,12.00,3.50,60,"Transmission Cooler Jumper Line Set",0.25
J0948726,0.50,11.50,0.50,10.83,"Clutch Cable",0.10
4167995,6.00,7.00,2.25,158.34,"Transfer Case Chain",5.40
68383240AA,7.50,10.25,5.00,125,"Brake Caliper",12.00
8128585K,18.75,31.50,11.00,175,"Fuel Tank Kit",18.40
BHK4,3.75,20.50,3.75,63.33,"Brake Hose Kit",1.60
RT26039,8.00,8.75,3.50,27.75,"Fuel Door",1.30
4892465AA,1.25,1.50,1.25,26.67,Lifter,0.20
4778672,10.50,11.00,9.00,745,"Differential Case Kit",19.00
68302120AB,4.00,4.00,1.75,43.33,"Side Marker Light",0.13
6036148AA,0.25,2.00,0.25,3.75,Rivet,0.02
55056624AD,11.00,45.25,5.75,100,"Transmission Cooler Hose Set",1.20
52124650AH,6.00,22.00,2.50,38.33,"Power Steering Return Hose",0.20
J5352786,4.00,4.00,0.50,7.5,"Pinion Seal",0.20
68195813AA,6.50,7.00,2.00,98.34,"Bumper Bracket",0.80
68193707AA,3.00,3.00,2.00,63.34,"Shift Solenoid",0.19
68147488AA,4.50,4.50,2.00,158.33,"Timing Chain",1.20
55156488AA,6.00,3.00,6.00,11.67,"Parking Light",0.40
J5362162,2.00,8.00,2.00,10.67,"Radiator Hose",0.70
J4007177,3.00,5.00,0.50,0.83,Nut,0.02
53032404AA,9.50,14.00,1.75,14.83,"Air Filter",1.10
68273308AA,29.00,33.50,8.50,275,Radiator,17.00
TRK2,4.25,12.25,3.25,66.67,"Tie Rod End Kit",3.60
4862631AA,3.25,3.25,1.25,108.33,"Pinion Bearing Set",0.88
53010277,3.00,11.50,1.00,43.33,"Accessory Drive Belt",0.60
J3241399,4.75,4.75,3.50,98.33,"Oil Pump",2.10
J5752009,6.25,10.25,12.00,20,"Shift Boot",0.70
52079503AB,9.00,24.00,2.50,40,"Radiator Hose",1.60
68202187AA,5.25,5.25,5.00,90,"Fog Light",0.60
68395634AA,0.75,1.50,0.63,0.5,Retainer,0.02
J0807266,1.25,3.25,3.50,58.33,"Pinion Bearing",0.90
RT24006,13.00,24.50,4.50,225,"Transmission Cooler Kit",4.60
J8136643,3.25,3.25,1.50,20,"Input Shaft Bearing",0.80
5183952AF,6.00,11.00,5.75,81.67,"Multifunction Switch",1.13
55395393AE,5.00,5.00,2.00,40,"Door Hinge",0.80
52089980AF,18.75,31.00,6.00,283.33,"Control Arm",23.00
RT26060,12.00,76.50,7.25,200,"Side Steps",44.60
52104337AA,1.75,1.75,0.75,25,"Pilot Bearing",0.20
J4487154,3.00,3.00,2.00,15.83,"Sector Shaft Bearing",0.30
J0948137,9.00,15.00,3.00,125,"Camshaft Gear",1.60
J8131668,3.50,4.75,0.25,12.13,"Access Cover Shim Set",0.20
J0944871,1.75,3.25,1.75,11.67,"Leaf Spring Bushing",0.40
68261578AA,13.00,21.00,0.25,53.34,"Transmission Pan Gasket",0.40
J4004816,2.25,0.50,2.25,6.67,"Spindle Nut",0.20
J3170937,1.75,1.75,1.50,3.33,"Clutch Boot",0.10
J5350061,1.25,1.50,1.25,28.33,"Back Up Light Switch",0.10
4798386,3.00,12.00,1.00,43.33,"Accessory Drive Belt",0.50
52107652AB,12.00,12.00,4.00,191.67,"Clutch Hydraulic Assembly",3.00
J8134089,1.00,1.00,0.25,0.55,"Oiling Funnel Snap Ring",0.10
RT11035T,10.00,31.00,9.50,403,"Replacement Soft Top",18.60
4805757AG,13.25,18.00,8.00,200,Headlight,5.80
52107624MC,4.50,12.00,3.50,115,"Clutch Master Cylinder",1.00
6CK19TZZAA,18.00,70.00,8.00,275,Fascia,3.60
4884483AC,2.50,4.00,2.50,51.67,"Variable Valve Timing Solenoid",0.40
52124961AH,15.50,18.00,2.00,36.67,"Parking Brake Cable",2.60
68089039AA,2.25,17.75,0.75,40,"Hood Support",0.30
55135600AC,5.75,7.25,1.25,48.33,"Hood Latch",1.00
5184359AB,2.00,2.50,2.00,29.17,"Timing Gear Idler Shaft",0.60
J4006714,0.50,1.25,0.50,2.5,"Water Pump Stud",0.10
52107652AM,12.75,20.25,4.50,233.33,"Clutch Hydraulic Assembly",3.30
J0991360,1.00,19.00,1.00,14.22,"Brake Hose",0.30
68398740AA,1.56,1.56,0.50,8.17,"Pinion Nut",0.20
4891675AA,10.75,13.00,3.00,10.83,"Air Filter",0.90
4682479,6.50,8.50,6.00,11.67,"Radiator Hose",0.80
6511744AA,1.00,1.00,0.75,3.17,"Door Hinge Nut",0.06
68143886AA,23.00,32.00,8.00,275,Radiator,10.20
J0642770,5.50,7.75,0.12,1,"Shift Cover Gasket",0.10
68091398AA,3.00,3.00,3.00,11.67,"Differential Mount",0.60
5071948AA,6.63,9.50,2.25,35,"Brake Pad Set",3.60
5012951AD,8.00,16.75,6.75,316.67,"Fuel Module",3.60
RT31051,11.50,12.75,3.75,163.34,"Brake Line Kit",2.00
RT31052,11.50,12.75,3.75,163.34,"Brake Line Kit",2.40
52111778AB,5.50,25.50,4.25,216.67,"Axle Shaft Assembly",18.40
J3149556,0.25,0.25,0.25,1.13,"Connecting Rod Nut",0.10
J5457882,1.25,4.25,1.25,8.25,"Headlight Switch Knob",0.10
53011,3.00,8.00,1.38,4.17,"Clutch Alignment Tool",0.06
6509858AA,0.75,2.50,0.75,1.67,"Wheel Stud",0.19
52114390AB,4.75,29.00,4.75,200,"Axle Shaft Assembly",19.80
56029084AA,3.25,1.50,3.25,46.67,"Oxygen Sensor",0.30
RT23009,5.50,25.50,4.25,316.67,"Axle Shaft Assembly",13.20
932829,5.75,9.25,5.00,108.33,"Brake Master Cylinder",3.40
5012324AA,3.00,6.50,0.75,35,"Transfer Case Chain Snubber",0.13
J0640694,4.00,6.00,4.00,30,"Fuel Sending Unit",0.40
68273502AA,14.00,14.75,4.75,75,"Brake Rotor",18.80
J5761330,4.00,4.00,4.00,75,Clock,0.60
RT31054,11.50,12.75,3.75,163.34,"Brake Line Kit",2.20
J5361829,5.00,4.00,6.00,20,"Engine Mount",1.40
RT35007G,3.63,3.88,0.06,2.67,"Throttle Body Spacer Gasket",0.02
J3237756,7.00,0.50,28.00,14.17,"Cylinder Head Gasket",0.60
83500967,4.50,15.25,4.50,277.33,"Cluster Gear",10.60
5003594AA,4.00,4.00,3.75,7.83,"Oil Filter",1.30
52028984AB,6.00,12.00,4.50,10.83,"Radiator Hose",0.80
52088352,2.25,4.00,2.25,11.67,"Bump Stop",0.60
53010314,3.00,11.50,1.00,35,"Accessory Drive Belt",0.50
4682586,6.00,8.00,1.75,12.5,"Radiator Hose",0.90
68397157AA,6.00,29.50,5.75,450,"Axle Shaft Assembly",17.40
J5761372,1.00,1.00,0.75,2.33,"Hood Bumper",0.10
BT30009,12.00,12.00,4.25,50,"Beach Topper",3.81
68400414AA,8.25,8.50,5.50,416.67,"Ring & Pinion",15.00
5012807AC,8.25,8.25,5.50,541.67,"Ring & Pinion Kit",12.40
J3203076,2.50,5.00,2.50,2,"Hose Clamp",0.06
68287922AC,30.00,53.00,15.00,37.5,"Fender Liner",3.20
J3144641,1.50,1.50,0.25,1.25,"Camshaft Expansion Plug",0.10
68105872AA,4.50,12.00,3.25,36.67,"Tie Rod",1.80
4721303AA,2.25,2.50,2.00,18.33,"Fuel Filter",0.10
68209679AE,27.00,56.00,16.00,70,"Fender Liner",2.20
55116869AB,8.00,6.00,16.00,20.83,"Radiator Hose",1.10
83503415,0.50,1.00,0.50,0.92,Screw,0.10
4397776K010,3.50,7.00,1.50,63.33,"Crankshaft Main Bearing Set",1.30
RT34104,3.00,6.00,3.00,60,"Liftgate Glass Hinge Kit",0.80
52028939AD,19.50,28.00,4.50,200,"Cooling Fan Module",9.50
J0801367,1.25,1.25,0.75,1.75,"Pinion Nut",0.10
52124994AB,2.00,2.50,2.00,30,"Differential Mount",0.40
4797699,4.00,6.00,4.00,35,"CV Joint Boot Kit",0.80
J3235806,7.25,30.50,7.25,216.67,"Axle Shaft",20.00
J3239375,3.25,3.25,1.75,10,"Radiator Cap",0.20
J5357023,22.00,23.00,8.00,91.67,"Fuel Tank Skid Plate",16.00
56044180AC,3.00,3.00,2.00,31.67,"Crankshaft Position Sensor",0.20
52124811AF,26.25,26.75,4.25,300,"Control Arm",20.40
J3241067,1.25,1.25,0.12,4.17,"Shift Knob Insert",0.10
J3171166,3.25,3.25,1.25,9,"Differential Carrier Bearing Cup",0.30
4743024AC,3.00,3.00,2.00,4.17,"Sway Bar Bushing",0.30
J5455302,3.50,10.00,2.00,8.33,"Mirror Arm",0.60
52088714AH,4.50,26.00,3.00,120,"Power Steering Pressure Hose",1.80
J0649784,4.00,4.00,0.12,0.67,"Hub Gasket",0.10
J3179741,13.75,13.75,0.50,26.67,"Flywheel Ring Gear",2.10
J4001916,0.50,0.75,0.50,0.92,Retainer,0.10
J5752943,4.00,8.00,3.75,55.47,"Blower Motor",2.50
RT10935T,10.00,31.00,9.50,395,"Replacement Soft Top",18.20
J3228195,4.00,10.00,4.00,44.17,"Fuel Pump",1.50
J5351778,10.00,1.50,10.00,12.5,"Speedometer Cable",0.40
68246734AA,5.50,25.50,4.25,113.33,"Trailing Arm",6.40
5272324AC,1.50,4.75,1.50,11.5,"Sway Bar Link",0.30
68320315AB,6.50,16.25,2.38,14.84,"Air Filter",0.80
68289234AE,13.00,18.50,10.00,350,Headlight,7.20
J3236695,1.50,2.00,1.50,5.83,"Crankcase Breather",0.10
J3238509,4.00,4.00,3.50,18.33,"Thermostat Housing",9.30
RT28093,12.00,59.50,10.50,500,"LED Light Bar & Bracket Kit",35.00
52108314AB,2.00,2.50,2.00,45,"Transmission Torque Converter Solenoid",0.31
55111450AE,14.00,31.50,8.50,86.67,"Transmission Cooler Hose Set",1.80
53000175,3.00,3.00,3.00,40,"Clutch Release Bearing",0.90
5135255AA,9.00,14.50,4.50,433.33,"Ring & Pinion Kit",11.20
J5354722,1.00,46.00,1.00,23.33,"Hand Brake Cable",0.60
68249852AD,14.00,14.50,4.75,103.33,Mirror,4.00
J3241239,1.00,2.25,1.00,6.67,"Shift Lever Clip",0.10
J5359903,1.25,5.75,0.50,15,"Clutch Rod",0.30
J5751098,2.50,4.00,2.50,18.2,"Headlight Switch",0.40
RT28107,5.25,9.00,4.75,58.33,"LED Fog Light Set",2.20
J5357703,1.00,17.25,1.00,14.67,"Accelerator Cable",0.10
68249849AD,14.00,14.50,4.75,120,Mirror,4.00
68247933AC,19.00,30.00,7.50,63.33,"Power Steering Pressure Hose",2.00
J3241709,0.25,9.50,0.25,2.33,"Push Rod",0.10
6509799AA,3.00,5.00,0.50,1.33,Nut,0.02
J0994306,11.50,11.50,3.00,64,"Brake Drum",11.20
J5763696,4.00,8.00,4.00,71.67,"Wiper Motor",2.50
68249592AB,13.75,14.00,3.25,81.67,"Brake Rotor",20.20
RT20016,22.50,59.00,11.00,525,"Hd Bumper",65.00
53021380AL,13.25,18.25,8.00,141.67,"Water Pump",10.60
J5359570,1.00,18.00,1.00,17.5,"Brake Hose",0.30
4893941AB,8.00,14.50,5.25,108.33,"Water Pump",4.40
56029454AC,2.00,2.50,2.00,14.17,"Brake Light Switch",0.13
5184129K,3.00,5.00,0.50,12.5,"Crankshaft Thrust Bearing Set",0.13
4893806AB,3.00,5.00,0.25,2,"Camshaft Phaser Actuator Seal",0.02
4682589,18.00,38.00,5.00,150,"A/C Condenser",11.50
5184778AB,3.00,5.00,0.50,6.67,"Spark Plug Well Gasket",0.02
J5357971,3.50,13.50,3.00,7.5,"Fuel Vent Hose",0.40
J5764221,13.25,20.50,4.25,48.33,"Corner Panel",5.30
J3242300,3.25,3.25,1.25,20.83,"Timing Chain",0.60
52089486AC,3.00,11.00,1.25,30,"Sway Bar Link",0.90
55115918AB,19.50,31.00,4.00,282.5,"A/C Condenser",8.80
J5764647,2.00,9.00,1.25,10,"Side Marker Light Base",0.10
J0805150,3.00,3.00,2.50,3.33,"Hub Seal",0.10
J5460643,2.50,4.00,2.50,46.67,"Oil Pressure Sending Unit",0.40
56002813,1.00,2.00,1.00,4.17,Bulb,0.30
68383600AB,2.50,22.25,1.25,21.67,"Wiper Blade",0.04
D35488,9.50,12.00,4.00,291.67,"Ring & Pinion",12.30
J3229032,1.25,3.50,1.25,4.67,"Brake Caliper Key",0.30
68410725AA,11.00,13.00,2.50,18.33,"Cabin Air Filter",0.60
RT11235T,10.00,31.00,9.50,403,"Replacement Soft Top",17.20
RT28002,8.00,14.00,5.00,59.99,"Tail Light Guard Set",4.30
J0906779,5.25,12.00,2.00,21.67,"Radiator Hose",0.60
52089981AF,16.00,24.00,6.00,283.33,"Control Arm",24.50
J3231214,0.75,0.75,0.25,0.63,Fuse,0.10
4893805AB,6.00,23.00,0.50,15,"Valve Cover Gasket",0.13
68324960AB,3.25,3.25,1.25,29.17,"TPMS Sensor",0.10
J3237851,2.00,2.75,0.25,3.33,"Rocker Arm Bridge",0.10
RT28094,12.00,59.50,10.50,500,"LED Light Bar & Bracket Kit",32.20
5184392AD,3.00,5.00,1.00,5.83,"Timing Chain Guide",0.06
5AH15JX9,16.00,5.00,46.00,26.67,"Fender Flare",2.00
J0646142,7.00,7.00,5.00,25,"Parking Brake Cable",0.60
4668180,3.00,15.25,0.75,13.33,"Accessory Drive Belt",0.10
J5454184,13.00,15.00,3.00,31.67,"Liftgate Weatherstrip",0.60
68157611AA,6.00,11.00,6.00,125,"Brake Caliper",11.40
5033310ACK,3.25,3.25,1.50,63.33,"Map Sensor Repair Kit",0.13
J5365082,3.00,3.00,0.25,4.17,"Hub Seal",0.10
J5370018,21.50,31.25,4.00,40,"Power Steering Pressure Hose",10.90
68384496AA,7.50,10.25,5.00,148.33,"Brake Caliper",8.60
52111884AB,6.50,7.50,6.50,138.33,"Hub Assembly",11.80
52088684AB,2.50,2.00,4.00,13.33,"Bump Stop",0.60
J3242886,7.75,8.50,3.50,73.33,"Harmonic Balancer",8.10
4682590,17.50,38.00,5.00,150,"A/C Condenser",12.10
