Number,Width,Length,Height,Price,Description,Weight
RT31047,15.50,16.00,10.75,581.67,"Big Brake Kit",85.00
5155459AF,9.00,13.50,8.00,96.67,Mirror,3.70
68033193AA,7.50,8.50,1.25,17.5,"Cabin Air Filter",0.30
56041019,5.00,25.00,2.50,148.33,"Ignition Coil",4.60
68145055AA,5.50,25.50,4.25,283.33,"Axle Shaft Assembly",14.20
55055047,8.50,1.50,8.50,17.08,"Headlight Bezel",0.20
52004749,2.50,4.00,2.50,24.17,"Bump Stop",0.60
83501938,6.75,9.00,1.00,27.22,"Carburetor Repair Kit",0.30
5281351AC,3.50,12.00,1.00,41.67,"Accessory Drive Belt",0.60
56027028,4.00,4.00,12.00,141.67,Distributor,2.10
52067576,12.50,12.50,5.00,131.67,"Steering Knuckle",13.00
52098378,10.00,42.00,10.00,650,"Drive Shaft",20.40
CAK10,26.50,28.00,4.50,375,"Control Arm Kit",30.60
55038011AB,11.50,14.00,6.00,40,"Coolant Bottle",1.06
68018929AA,2.50,18.00,1.00,23.33,"Wiper Blade",0.20
5455348,1.00,1.00,1.00,1.67,"Hood Bumper",0.10
4864220X,3.00,3.00,2.00,5,"Shift Retainer Seal",0.10
5143696KR,3.00,3.00,3.00,26,"Brake Caliper Rebuild Kit",0.40
RT28092,10.00,23.25,8.50,316.67,"LED Light Bar & Hood Bracket Kit",12.00
RT28087,4.00,9.25,2.00,18,"LED Light Bar Hood Bracket Set",1.60
53002924,2.50,2.50,1.00,7.5,"Wheel Bearing Cup",0.10
6104718AA,1.00,1.00,0.50,5,Nut,0.02
5DN63SS5,19.00,70.00,17.00,158.33,Fascia,9.70
52108147AA,11.00,13.00,2.50,43.33,"Intermediate Plate",1.20
5FB63RXA,1.00,3.75,0.75,5.67,"Door Pin Insert",0.06
5184546AC,8.00,12.00,3.25,60,"Engine Oil Pan",2.19
4891577AC,2.00,2.50,2.00,43.33,"Fuel Injector",0.13
68004070AB,5.00,5.00,3.00,58.33,"Pinion Flange",3.30
RT29012,2.00,2.50,2.00,20,"Rocker Switch",0.06
5252508,3.25,3.25,1.25,26.67,"Pinion Bearing Set",0.80
68224851AE,3.00,6.00,3.00,23.33,"Sway Bar Link",0.60
68253514AA,4.00,4.00,4.00,70,"Thermostat & Housing",0.40
53004539,9.25,11.00,5.25,50,"Shift Boot",2.20
52060024AE,3.50,43.00,2.25,73.33,"Track Bar",9.00
68258363AA,1.50,17.00,1.50,11.67,"Brake Hose",0.20
4806224AE,2.00,2.50,2.00,14.17,"Side Repeater Light",0.06
53022320AB,4.00,4.00,0.06,3.33,"Throttle Body Gasket",0.06
MU159002,0.75,2.00,0.75,4,"Wheel Stud",0.13
52000865,9.75,9.75,1.25,25,"Parking Brake Cable",1.10
SK3,5.25,56.50,4.00,215,"Steering Kit",22.60
52001736,14.00,14.00,5.00,15,"Steering Adjuster",1.20
83502960PL,18.00,24.00,17.50,316.67,"Fuel Tank",19.00
83504410,3.50,3.50,1.25,36.67,"Input Shaft Bearing",0.30
RT28085,4.00,4.00,4.00,37.5,"LED Cube Flood Lamp",1.60
53010311,3.00,12.75,1.00,38.33,"Accessory Drive Belt",0.50
CAK12,10.25,23.25,8.50,133.33,"Control Arm Kit",15.60
5066650AA,5.25,13.50,5.00,441.67,"Cluster Gear",15.80
68069532AA,5.00,5.00,5.00,191.67,"Mass Air Flow Sensor",0.60
CAK14,8.75,28.25,8.25,203.33,"Control Arm Kit",22.20
55397093AC,3.25,3.25,1.25,4.83,"Hard Top Nut",0.13
68029024AB,4.25,15.25,4.25,36.67,"Sway Bar Link",1.60
55029455K,5.50,6.00,2.00,24.83,"Door Striker",0.70
5156106AD,6.00,6.00,6.00,183.33,Clockspring,0.80
J0638513,1.50,1.50,0.75,4.17,"Crankshaft Pulley Nut",0.10
68084183AA,3.25,3.25,0.50,11.67,"Pinion Seal",0.06
RT21047,4.25,1.25,2.75,43.5,"Sway Bar Link",0.60
52107652MC,4.00,4.00,12.00,103.33,"Clutch Master Cylinder",1.20
55157411AD,18.00,56.00,9.00,41.67,"Fender Liner",2.40
83500580,3.25,3.25,3.25,36.67,"Cluster Gear Bearing",0.40
52079873AA,5.50,15.00,3.00,14.17,"Radiator Hose",0.70
E0055277AA,12.50,44.50,10.25,108.33,"Exhaust Pipe",6.40
52005477,12.00,12.75,1.50,20,"Brake Dust Shield",0.80
68022628AD,13.25,28.25,8.25,158.33,"Steering Knuckle",23.60
52009527,5.50,5.75,2.50,13.33,"Parking Brake Adjuster Kit",0.60
68223469AA,6.50,24.00,5.00,40,"Fascia Bracket",1.20
68141376AB,1.25,3.25,1.25,40,"A/C Pressure Transducer Valve",0.06
83501398,4.50,6.00,29.00,61.67,"Valve Cover",8.50
1FU931X9AC,3.25,3.25,1.25,13.33,"Ignition Switch",0.06
J3242678,2.00,2.50,2.00,9.17,"Valve Spring",0.20
5105309AB,3.00,3.00,3.00,12.5,"Differential Bushing",1.00
52000619,1.50,1.50,1.00,1.33,"Engine Damper Bushing",0.10
83500515,1.00,1.75,1.00,25,"Reverse Gear Pin",0.10
J8134441020,4.00,4.00,4.00,60,"Piston & Pin",1.60
52060013AA,2.25,2.50,2.00,4.17,"Sway Bar Bushing",0.20
68003533AA,7.50,36.00,7.50,248.33,"Axle Shaft Assembly",26.00
RT30022,7.50,8.25,4.50,27,"Mirror Head Set",1.40
A410,2.50,2.50,0.25,1.33,"Main Shaft Oil Slinger",0.10
5066241AB,0.75,0.75,0.19,3.17,"Keyless Remote Transmitter Battery",0.02
68087448AC,3.25,3.25,1.25,6.66,"Drive Shaft Retainer & Bolt Set",0.25
4671929AC,2.25,7.00,2.00,36.67,"Speed Control Switch",0.13
83502681,3.25,3.50,3.25,63.33,"Input Shaft Bearing",1.10
83506077,2.00,14.00,1.25,28.33,"Third Gear Bearing",0.40
55076222MK,6.00,8.00,4.25,77.5,"Door Handle Kit",2.80
5011973AA,7.50,8.00,4.75,131.67,"Brake Caliper",9.20
52114548AC,7.50,36.00,7.50,123.33,"Axle Shaft",23.00
J3223414,1.00,3.25,0.75,4.5,"Brake Caliper Key",0.20
A1242,10.50,15.00,2.00,28.33,"Emergency Brake Cable & Handle",2.00
5015606AA,13.75,14.00,3.25,243.33,"Clutch Kit",19.50
56027906AC,1.25,3.25,1.25,35,"Power Steering Pressure Switch",0.13
53022317AC,3.00,3.00,3.00,30,"Crankshaft Sprocket",0.60
68244088AA,10.00,13.50,9.50,48.33,"Coolant Bottle",2.60
53010624AC,7.00,9.75,5.75,125,"Oil Pump Drive Assembly",2.50
4883445AA,3.50,24.50,1.50,61.67,"Accessory Drive Belt",0.60
5066840AA,1.00,6.25,1.00,50,"Glow Plug",0.13
83503514,1.00,1.25,0.25,1.17,"Shift Fork Bushing",0.10
5012456AB,5.75,41.00,5.75,125,"Axle Shaft Assembly",20.00
52087852,3.00,3.00,2.00,13.33,"Control Arm Bushing",0.60
5039149AB,1.75,1.75,1.25,4.42,"Sway Bar Bushing",0.13
68052383AA,3.25,3.25,1.25,10.42,"Brake Caliper Pin Kit",0.25
4892791AA,3.00,20.00,1.00,36.67,"Accessory Drive Belt",0.40
5013368AA,3.50,3.50,0.50,26.67,"Synchronizer Blocking Ring",0.10
55079293AH,21.00,58.00,18.00,48.33,"Fender Liner",2.70
5166780AA,4.00,8.00,4.00,26.67,"Fuel Filter",0.80
3184908E,13.50,14.00,3.00,200,"Clutch Kit",21.70
68273402AA,18.00,31.50,5.00,125,"A/C Condenser",7.40
83505447,3.75,4.00,1.75,64.13,Bearing,1.30
640763,3.00,3.00,3.00,26.67,"Fuel Gauge",0.20
5086639AA,8.25,8.25,5.50,366.67,"Ring & Pinion Kit",12.40
4669865,3.00,3.00,3.00,10.83,"Emissions Vent Valve",0.19
8133730K,8.00,9.00,3.50,81.67,"Hub Kit",10.00
RT21022,6.00,6.25,3.00,41.67,"Hd Shackle Kit",7.10
988003,1.50,1.63,0.50,11.67,"Dash Light",0.02
68083133AB,4.00,10.00,0.12,9.5,"Coolant Crossover Gasket",0.10
68109898AC,20.00,79.00,12.00,233.33,Fascia,6.40
5105878AA,4.00,8.00,4.00,4,"Sway Bar Bushing",1.20
648065,4.50,4.50,2.00,48.33,"Carburetor Repair Kit",0.31
55177257AB,3.25,3.25,1.25,20,"Mucket Seal",0.06
55076307,1.25,3.25,1.25,10,"Door Lock Cylinder Lever",0.06
4560182AF,10.50,10.50,10.00,141.67,"Brake Booster",7.60
55079049K,1.25,3.25,1.25,20,"Windshield Washer Nozzle Set",0.06
52003607,1.00,16.75,1.00,20,"Brake Hose",0.40
4801852AB,7.50,8.00,4.75,158.33,Starter,5.30
4723518C,12.50,20.50,9.00,158.33,"Evaporator Core",7.30
5191215HK,4.00,4.00,1.75,23.33,"Parking Brake Hardware Kit",0.40
53009549AB,6.75,0.25,19.25,10,"Cylinder Head Gasket",0.40
68263133AA,3.25,3.25,1.25,14.17,"Brake Caliper Pin Kit",0.13
52126244AA,3.50,6.00,3.50,23.33,"Fuel Filter",0.90
RT28104,8.25,15.50,5.25,300,"LED Headlight Kit",4.60
4446361,0.75,0.75,0.25,2,"Pedal Bushing",0.06
83503485,4.25,4.50,4.00,128.27,"Power Steering Pump Body",2.50
RT10835T,23.25,59.00,11.00,1153.05,"Bowless Soft Top",62.40
5011985AA,2.50,2.50,0.50,7.5,"Brake Caliper Boot",0.10
68246496AA,4.25,15.25,4.25,30,"Sway Bar Link",1.00
1CJ57DX9AD,3.00,6.00,3.00,10.83,"Hard Top Mounting Knob",0.20
RT20023,13.25,28.25,8.25,90,"Evap Skid Plate",23.00
XYZ1993S,14.25,15.00,5.00,283.33,"Clutch Kit",21.00
4874302,6.00,30.00,5.00,248.33,"Axle Shaft Assembly",17.90
5184349AC,7.00,8.00,4.50,183.33,"Throttle Body",2.20
6506161AA,0.88,1.00,0.88,2.83,Screw,0.02
4643448,0.75,0.75,0.75,2.5,"Clutch Master Cylinder Bushing",0.02
83500525,0.63,1.50,0.63,1.83,"Shift Lever Housing Bolt",0.10
83500934,4.00,6.50,4.25,15.83,"Distributor Cap",0.50
55176476AB,4.50,2.00,4.50,11.5,"Door Handle",0.10
68143076AD,18.00,70.00,10.50,165,Fascia,5.20
68102087AA,1.00,6.25,1.00,26.67,"Glow Plug",0.13
68079924AA,31.00,56.00,9.50,158.33,Fender,9.00
52077578,12.00,15.00,2.00,24.17,"Throttle Valve Cable",0.70
4886373AA,11.50,19.50,4.25,100,"Case Half",5.50
52022039,16.00,52.00,8.25,198.33,"Muffler & Tailpipe",20.00
68005015AC,4.00,6.00,4.00,38.33,"Hard Top Seal",0.19
5184293AH,7.50,8.00,4.50,56.67,"Harmonic Balancer",6.00
52002633PLK,22.00,35.00,13.00,400,"Fuel Tank Kit",23.60
52040426,2.50,6.75,2.50,13.33,"Bump Stop",1.90
D30456JK,11.25,15.50,7.00,316.67,"Ring & Pinion",10.20
56028394AD,4.00,6.00,4.00,43.33,"Ignition Coil",0.80
56000887,6.50,10.75,5.75,120,Headlight,2.20
5093542AA,8.00,8.75,3.50,83.2,"Brake Caliper",5.80
A6118,7.50,33.00,7.50,80,Muffler,10.00
RT25004,4.00,5.75,1.75,25,"Door Hinge Bushing Kit",0.31
RT34091,3.75,7.00,3.00,46.67,"Hood Hinge Set",2.88
55079049AA,1.25,1.50,0.62,11.67,"Windshield Washer Nozzle",0.02
83506252,3.50,3.50,0.25,14.17,"Synchronizer Blocking Ring",0.30
4891970AB,7.50,8.00,4.50,191.67,"Throttle Body",2.20
5143096AA,11.50,18.00,10.00,233.33,"Evaporator Core",5.90
MFK22,13.50,14.00,3.25,16.66,"Master Filter Kit",1.60
J3223413,0.25,3.50,0.25,1,"Brake Caliper Spring",0.10
52105728AE,5.50,41.25,5.50,366.67,"Drive Shaft",18.00
68224852AE,2.50,8.00,2.50,23.33,"Sway Bar Link",0.60
68052375AA,3.00,3.00,2.00,16.5,"Brake Caliper Rebuild Kit",0.40
5159176AA,5.00,5.00,5.00,100,"Input Bearing Retainer",0.08
55397132AB,2.00,2.50,2.00,15.83,"Door Surround Knob",0.06
RT20034,11.00,55.00,1.75,283.33,"Rocker Panel Guard Set",19.00
5012432AA,8.00,2.50,2.50,60,"Ball Joint Set",2.10
52128431AC,12.00,16.00,2.00,23.33,"Brake Hose",0.40
4591847AC,7.50,8.00,4.50,191.67,"Throttle Body",2.60
4781255AA,3.25,15.00,0.25,8.83,"Exhaust Manifold Gasket",0.30
55157319AA,1.25,3.25,1.25,11.67,"Windshield Washer Nozzle",0.06
4666068AC,5.25,7.50,0.06,7.5,"Water Pump Gasket",0.06
5012457AB,6.00,30.00,4.50,125,"Axle Shaft Assembly",13.00
55395274AU,14.00,22.00,2.50,56.67,"Door Weatherstrip",1.80
68051842AA,8.75,28.25,8.25,90,Strut,11.60
68139723AA,2.50,4.00,1.25,5,"Exhaust Insulator",0.20
5355457K,10.00,11.50,4.00,76.67,"Bumperette Kit",7.10
53008778,1.50,2.50,0.75,3.17,"Distributor Rotor",0.10
5012603AA,2.50,3.50,0.75,9,"Washer Reservoir Cap",0.10
52009562,2.25,3.25,0.50,10,"Pedal Pad",0.06
55038001AH,28.00,31.50,9.00,283.33,Radiator,14.20
5168158AA,22.75,31.50,5.00,241.67,"Control Arm",29.20
4779869AC,6.00,6.00,6.00,108.33,"Hub Assembly",7.40
55155990AA,6.00,5.75,5.50,25.83,"Bumper Bracket",1.60
68260443AA,1.25,3.25,1.25,14.17,"Windshield Washer Nozzle",0.06
RT25006,22.00,37.75,4.50,633.33,"Tube Door Set",48.60
5047594AA,2.00,2.50,2.00,4.83,"Oil Filler Cap",0.13
5168167AB,6.75,10.00,6.75,63.33,Strut,10.00
68254966AB,27.00,63.00,14.00,108.33,"Fender Liner",2.60
53022316AC,4.00,4.00,1.75,43.33,"Timing Chain",0.80
J5358444,4.00,30.00,4.00,30.83,"Air Intake Duct",0.60
RT28033,5.50,25.75,4.25,666.67,"LED Light Bar & Hood Bracket Kit",4.56
5093278AB,0.44,0.44,0.31,2.67,"Bleeder Screw Cap",0.02
5303842AB,10.50,10.50,10.50,125,Headlight,3.30
J5469603,13.50,23.00,3.00,78.33,"Rear Glass Weatherstrip",3.20
68080831AA,0.50,0.50,0.25,14,"Fuel Injector O-Ring Kit",0.02
RT28080,8.50,9.00,7.38,100,"LED Tail Light Set",3.00
68083225AA,3.25,3.25,1.25,98.34,"Main Shaft Bearing",1.00
68207291AC,10.88,15.50,2.00,15,"License Plate Bracket Kit",1.20
52010309AB,1.00,0.75,1.00,0.67,"Pedal Bushing",0.02
6503259,3.00,5.50,0.75,2.33,Screw,0.02
6503598,1.00,1.25,1.00,4.33,Retainer,0.10
4483485,2.25,2.50,2.00,7.5,"Balance Shaft Gear",0.20
68197298AB,18.00,31.50,5.00,233.33,"Cooling Fan Module",9.20
53011098,4.00,14.00,1.00,25,"Accessory Drive Belt",0.70
53021779K,13.50,18.25,8.00,80,"Engine Oil Pan Kit",8.00
68266515AA,2.50,4.00,2.50,86.67,"Blower Motor Resistor",0.20
68091521AA,23.00,74.00,14.00,216.67,Fascia,4.60
56003151,4.00,17.00,4.00,103.33,"Power Antenna",2.40
52001153,9.00,9.00,1.00,20,"Parking Brake Cable",1.00
5013366AA,3.50,3.50,0.50,26.67,"Synchronizer Blocking Ring",0.20
52017863,4.00,4.00,4.00,21.67,"Transmission Mount Bushing",0.90
56030012,5.00,14.00,3.00,18.33,"Wiper Arm",0.30
68270814AB,21.50,45.00,11.75,48.33,"Fender Liner",2.60
RT34102,8.00,13.50,5.00,55,"Tail Light Guard Set",2.60
52089169AE,28.00,1.00,3.50,18.33,"Power Steering Return Hose",0.40
52002393,6.00,4.25,2.00,12.5,"Bump Stop",1.40
68065923AA,13.75,18.00,3.50,43.33,"Transmission Pan",4.80
83500999,12.00,12.00,2.50,6.67,"Air Filter",1.10
5013595AB,5.00,19.00,1.75,15.83,"Cabin Air Filter",0.40
68247339AA,8.25,8.75,2.50,19.17,"Air Filter",0.60
83504575,6.00,7.00,2.00,123.33,"Transfer Case Chain",4.50
4777976AA,1.25,3.50,1.25,15.67,Lifter,0.10
55136699AC,3.50,4.00,9.50,46.67,"Liftgate Handle",0.90
52005183,10.00,12.50,5.75,41.67,"Coolant Bottle",1.20
68004052AB,18.00,31.50,5.00,241.67,"A/C Condenser",6.40
5105770AD,7.00,7.25,5.25,90,"Hub Assembly",7.40
RT28036,8.75,9.25,2.75,341.67,"LED Fog Lamp Kit",2.38
6505667AA,1.00,1.00,1.00,1.17,Retainer,0.10
5191345AA,8.00,8.25,8.00,113.33,"Blower Motor",3.20
68032204AB,3.00,6.00,3.00,17.5,"Oil Filter",0.30
52108327AC,11.25,16.50,2.50,46.67,"Transmission Pan",3.20
68145054AA,5.50,41.25,5.50,283.33,"Axle Shaft Assembly",20.40
52089258AC,4.25,16.00,2.50,20.84,"Brake Hose",0.40
53013490AA,3.25,3.25,1.25,80,"Fuel Injector",0.10
6503106,0.88,1.75,0.88,3,Retainer,0.02
55395275AU,19.00,19.00,3.00,56.67,"Door Weatherstrip",1.80
68142880AB,2.50,3.50,1.00,4.17,"Exhaust Insulator",0.20
68213205AA,6.00,8.00,4.50,27.5,"Fog Light Bezel",0.40
4797689,4.25,4.75,3.50,63.33,Yoke,2.30
68299171AB,24.00,47.50,12.00,48.33,"Fender Liner",3.00
5758172MK,6.00,8.00,4.25,89.17,"Door Handle Kit",3.00
68246489AA,4.00,4.00,4.00,46.67,"Ball Joint",1.40
52114574AA,8.00,8.25,8.00,266.67,"Differential Case Assembly",15.50
5066485AA,7.50,32.50,7.50,258.33,"Axle Shaft Assembly",20.50
5106043AB,4.50,12.00,3.25,63.33,"Clutch Master Cylinder Actuator",0.70
68069675AD,3.75,20.50,3.75,63.33,"Shock Absorber",6.40
68002896AA,13.00,20.50,4.50,58.33,"Window Regulator",4.31
4798123,2.50,4.50,2.50,15,"Slip Yoke Boot",0.20
52002658,2.25,2.00,4.00,6.67,"Bump Stop",0.40
68270815AB,22.00,46.50,11.50,48.33,"Fender Liner",2.80
4882350,8.00,32.00,7.75,250,"Axle Shaft Assembly",21.70
H7128,3.00,7.00,1.50,11.5,"Drum Brake Hardware Kit",0.60
53010334,7.00,28.50,5.50,916.67,"Cylinder Head",71.40
4861667AA,1.25,3.25,1.25,81.67,"Fuel Injector",0.06
68038826AB,8.00,8.25,8.00,128.33,"Blower Motor",3.60
68022629AD,13.25,28.25,8.25,158.33,"Steering Knuckle",24.40
68184809AC,9.00,12.00,2.50,40,"Brake Hose",0.80
A4127,2.25,4.50,2.00,13.33,"Jerry Can Strap Set",0.20
55234545,6.00,10.25,4.50,21.67,"Bumper End Cap",0.40
68091524AA,19.00,68.00,9.00,200,Fascia,5.80
RT32015,7.50,8.00,4.50,96.67,"Wheel Spacer Set",6.00
83503156,4.50,5.00,4.50,40,"Housing Extension",1.40
52088548AB,8.00,11.00,1.00,103.33,"Power Steering Pressure Hose",0.90
RT27052,22.50,40.00,14.50,825,"Locking Center Console",41.00
2421309K,2.75,4.75,2.75,65,"Connecting Rod Bearing Set",0.80
5093788AA,8.00,16.75,6.75,213.33,"Fuel Module",3.60
6509673AA,1.00,1.25,1.00,1.25,Retainer,0.02
83502662,3.00,5.00,3.00,46.67,"Shift Fork",0.40
MFK3,13.50,20.00,4.00,71.67,"Master Filter Kit",3.80
55175665,13.50,20.25,4.50,86.67,"Corner Panel",5.20
MFK19,13.50,14.00,3.25,93.33,"Master Filter Kit",2.60
MSF2,0.75,2.00,0.75,2.08,"Wheel Stud",0.13
68087362AC,3.75,20.50,3.75,81.67,"Shock Absorber",4.60
55175664AB,13.50,20.25,4.50,86.67,"Corner Panel",5.20
5105586AA,3.50,3.50,2.00,86.67,"Wheel Bearing",1.80
5152076AC,2.50,4.00,2.50,75,"Windshield Washer Pump",0.20
55399214AF,18.00,18.00,3.00,65,"Door Weatherstrip",1.20
53005202,1.00,33.00,1.00,13.33,"Accelerator Cable",0.20
5019708AD,10.50,20.75,2.75,63.33,"Hydraulic Fan Hose",1.30
5134120AA,10.75,13.00,10.50,130,"Brake Booster",8.60
68102847AE,12.50,18.50,8.50,300,Headlight,5.40
5080477AA,4.00,6.00,4.00,21.33,"Fuel Filter",1.00
5183710AA,3.25,3.25,1.25,8.17,"Radiator Cap",0.19
J3200501,1.25,1.25,0.50,2.66,"Pitman Arm Nut",0.13
RT30017,8.00,8.50,3.50,21.67,"Mirror Head",1.40
4318060AB,1.75,6.25,1.75,9.83,"Limited Slip Additive",0.10
6508712AA,0.75,1.50,0.75,1.83,Retainer,0.02
55175042,1.50,47.00,1.25,40,"Liftgate Weatherstrip",0.60
5012447AB,8.00,8.00,5.00,650,"Ring & Pinion Kit",9.70
BKNV1500,10.25,13.00,2.75,400,"Transmission Overhaul Kit",2.13
68035568AA,12.00,12.50,8.00,241.67,"Ring & Pinion Kit",17.50
5140332AA,2.25,2.50,2.00,41.67,"Camshaft Position Sensor",0.10
52123523AA,5.50,41.25,5.50,233.33,"Axle Shaft Assembly",24.10
5093277AA,2.50,2.50,0.50,9.67,"Brake Caliper Boot",0.10
52126122AC,2.75,5.50,2.25,20,"Steering Adjuster",1.60
68211424AA,4.00,4.00,4.00,43.33,"Thermostat & Housing",0.60
55022102,9.00,8.00,13.00,30,"Bumper End Cap",0.60
55034075,11.50,12.25,0.25,20.83,"Headlight Bezel",0.40
6505549AA,1.00,3.25,1.00,3.67,Bolt,0.13
HK8795YJ,30.25,41.00,6.50,333.33,"Soft Top Hardware Kit",31.00
83502384,12.00,32.00,2.00,43.33,"Engine Gasket Set",1.70
68194930AA,2.50,26.00,1.50,23.33,"Wiper Blade",0.40
68265766AA,9.50,23.50,8.50,158.33,Strut,12.40
68004053AA,21.00,34.00,4.00,150,"A/C Condenser & Transmission Cooler",9.40
H7064,2.50,4.00,2.50,8.17,"Drum Brake Hardware Kit",0.70
68052361AA,2.50,8.00,2.50,26.67,"Brake Caliper Rebuild Kit",0.88
68052367AA,3.25,3.25,1.50,15.83,"Brake Caliper Pin Kit",0.38
RT20026,11.75,11.75,4.00,116.67,"Hd Differential Cover",10.50
5143580AB,11.50,24.00,6.00,60,"Windshield Washer Reservoir",1.50
52007588,12.50,20.50,0.50,20,"Parking Brake Cable",0.80
E0021456,10.50,24.75,5.00,150,Muffler,10.60
57010170AE,13.50,18.25,8.00,230,Headlight,5.90
55054931,11.00,13.50,3.50,15.83,"Headlight Bezel",0.40
68212011AA,7.50,8.00,4.50,92,"Brake Caliper",11.40
RT21054,9.75,11.00,3.75,225,"Lift & Level Kit",18.80
53011097,3.25,20.50,1.50,36.67,"Accessory Drive Belt",0.40
83506079,3.50,3.25,1.25,32.5,"Fifth Gear Bearing",0.20
68197139AA,2.50,30.00,1.50,26.67,"Wiper Blade",0.40
SP148183AC,1.25,3.25,1.25,10,"Spark Plug",0.13
53010340K,12.00,30.00,10.00,153.33,"Engine Oil Pan Kit",12.20
68247999AA,20.00,21.75,3.50,141.67,"Control Arm",11.20
53010630AB,14.25,15.00,5.00,225,Flywheel,26.20
68102921AC,8.00,13.50,5.00,280,"Tail Light",2.00
A1301,12.50,14.50,1.00,14.17,"Choke Cable",0.40
4884443AD,7.00,17.00,0.25,23,"Cylinder Head Gasket",0.50
A3110,1.50,3.00,0.50,10.83,"Soft Top Strap",0.13
5103452AA,2.50,8.00,2.50,70,"Windshield Washer Pump",0.40
5143693AB,6.25,10.75,6.00,125,"Brake Caliper",11.30
RT23002,11.25,16.50,2.50,150,"Disconnect Kit",3.70
68003558AA,8.00,35.00,7.50,275,"Axle Shaft Assembly",26.00
4589050AB,2.00,2.50,2.00,10.83,"Door Striker",0.31
52008232,0.75,24.00,0.75,17.5,"Parking Brake Cable",0.30
52038423AB,5.00,21.50,3.00,29.17,"Power Steering Return Hose",0.40
83500301K6,2.50,6.00,1.25,41.67,"Connecting Rod Bearing Set",0.60
52040320,3.50,5.00,8.00,29.17,"Leaf Spring Bracket",2.60
RT27049,5.75,7.00,2.75,37.5,"Grab Handle Set",5.00
52000596,1.75,36.00,1.50,41.67,"Steering Adjuster",3.10
55026014,9.00,15.00,3.00,25.67,"Ignition Cylinder Kit",0.40
52059884AE,3.00,20.00,1.00,25,"Brake Hose",0.50
83500567,4.12,0.50,6.25,15.43,"Synchronizer Blocking Ring",0.20
5003861AA,7.25,15.25,6.50,183.33,"Fuel Module",2.70
52060058AE,1.25,14.25,1.25,45,"Steering Stabilizer",2.10
8122874K2,3.25,3.25,1.50,36.67,"Door Cylinder Kit",0.40
83506078,3.25,1.25,3.25,32.5,"Input Shaft Bearing",0.20
6510161AA,0.75,1.25,0.63,1.25,"Brake Hose Bolt",0.06
53020833K,12.25,30.00,9.50,150,"Engine Oil Pan Kit",12.00
RT33016,6.50,10.25,2.50,16.67,"Tri-Fold Shovel",2.56
RT27063,5.75,22.00,4.00,90,"Grab Handle Kit",10.40
55076025AD,4.00,12.00,2.50,113.33,"Window Regulator",2.10
5103112AA,1.25,1.25,1.00,3.5,"Brake Caliper Bushing",0.10
6507152AA,1.25,2.00,1.25,4.83,Bolt,0.19
4723289K,3.25,3.25,1.55,40,"Ignition Cylinder Kit",0.40
52003181,7.00,8.50,1.50,18.33,"Parking Brake Cable",1.00
52089485AC,3.00,3.00,2.00,4.17,"Sway Bar Bushing",0.20
68304339AA,9.50,23.50,8.50,100,Strut,13.00
RT21042,4.00,11.00,2.00,23.33,"Sway Bar Link",0.90
68144511AC,8.00,14.00,8.00,15,"License Plate Bracket Kit",0.56
52088319AB,1.50,10.00,1.50,20.83,"Sway Bar Link",0.80
6509522AA,1.00,1.00,0.25,5.83,"Jam Nut",0.06
68141936AD,7.00,42.00,3.75,40,Grille,0.80
5143691AA,2.50,2.50,0.50,9.58,"Brake Caliper Boot",0.10
52088346AB,8.00,8.00,8.00,12.5,"Coil Spring Isolator",0.60
E0054079,12.00,58.00,8.00,65,Tailpipe,7.60
32003300AB,6.00,5.00,0.50,3.16,"Hose Clamp",0.20
55155836AH,9.75,6.50,15.00,53.33,Mirror,2.70
52018391P,2.25,6.75,2.00,134,"Fuel Pump",0.80
83500573,0.25,0.25,0.25,0.83,"Shift Ball",0.10
52037710AC,3.00,6.00,3.00,7.5,"Sway Bar Bushing Bracket",0.60
55079229AD,4.00,8.00,4.00,6,"Bumper Bracket",0.31
83500998,2.50,4.25,2.50,10,"Fuel Filter",0.30
5191272AA,1.25,3.25,1.25,14.83,"Brake Caliper Pin Kit",0.31
55395709AE,3.00,6.00,3.00,15.83,"B-Pillar Seal",0.31
5184646AC,4.50,17.00,1.00,28,"Accessory Drive Belt",0.40
83503137,0.75,0.75,0.25,1.33,"Shift Fork Bushing",0.10
53021294AA,1.75,10.00,1.00,23.33,"Timing Chain Guide",0.30
55177482AA,1.75,1.75,0.25,3.67,"Floor Pan Plug",0.02
52088489AB,7.00,12.50,0.75,31.67,"Power Steering Pressure Hose",0.80
53022162AA,8.00,8.00,8.00,96.67,"Harmonic Balancer",14.80
52125323AC,2.25,2.50,2.00,8.33,"Sway Bar Bushing",0.31
4897386AD,12.00,22.50,1.75,113.33,"Engine Gasket Set",2.20
4578885AC,5.75,29.00,4.75,200,"Axle Shaft Assembly",16.80
4796337HK,4.50,4.55,2.00,24.17,"Parking Brake Hardware Kit",0.80
68036552AA,0.50,0.75,0.50,2.33,"Soft Top Latch Bumper",0.02
5012748AB,5.25,42.00,5.25,125,"Axle Shaft Assembly",19.30
A6742K,3.00,3.00,1.00,15,"Horn Button Kit",0.30
5047077AA,0.50,0.50,0.12,4.66,"Dipstick Tube O-Ring",0.06
83507079K4,4.00,8.00,2.25,75,"Crankshaft Main Bearing Set",1.30
RT34002,3.50,9.50,3.00,72,"Door Handle",2.10
