Number,Vendor,Length,Width,Height,Price,Description,Weight
K490,Crown,11.00,11.00,8.00,766.67,"Carburetor Kit",10.00
52007523,Crown,18.00,11.75,0.50,19.17,"Parking Brake Cable",0.60
5012793AA,Crown,5.50,5.25,2.75,23.33,"Drive Shaft Boot Kit",0.40
68212325AA,Crown,3.25,3.25,1.50,13.33,"Brake Caliper Pin Kit",0.38
68004296AA,Crown,31.50,18.00,5.00,250,"A/C Condenser",6.40
68246746AA,Crown,20.50,2.00,2.00,68.33,"Lateral Link",2.40
55176548MK,Crown,6.50,6.00,3.00,82.5,"Door Handle Kit",1.80
5143553AA,Crown,3.12,1.25,0.25,30,"Key Blank",0.06
52009968AC,Crown,14.00,14.00,3.00,81.67,"Brake Rotor",23.00
4713455,Crown,70.00,19.00,16.00,251.33,Fascia,11.50
RT34078,Crown,14.50,13.00,0.25,41.67,"Cowl Vent Cover",0.90
52008362,Crown,9.50,9.50,2.00,30,"Parking Brake Cable",11.30
52067577,Crown,11.25,9.25,9.25,131.67,"Steering Knuckle",8.60
68256431AA,Crown,12.00,9.50,6.00,158.33,"Parking Light",1.60
5184855AB,Crown,2.50,2.50,0.25,4.83,"Camshaft Seal",0.06
52060045AE,Crown,25.00,20.00,3.25,24.17,"Brake Hose",0.60
52079504,Crown,1.00,12.00,6.50,20.83,"Accelerator Cable",0.40
68102155AD,Crown,8.25,8.00,8.00,66.67,"Coolant Bottle",1.60
68156563AB,Crown,11.00,2.50,1.75,6,"Fascia Skirt",0.06
52098707,Crown,41.25,5.50,5.50,566.67,"Drive Shaft",18.60
CAK3,Crown,23.25,10.25,8.50,136.67,"Control Arm Kit",15.60
52088524,Crown,3.00,3.00,2.00,5.67,"Sway Bar Bushing",0.20
5143696KF,Crown,4.00,2.50,2.50,52,"Brake Caliper Rebuild Kit",0.60
6104719AA,Crown,5.00,3.00,0.50,2.67,Nut,0.06
6505465AA,Crown,3.25,1.25,1.25,5.33,"Sway Bar Link Bolt",0.19
68265769AA,Crown,23.50,9.50,8.50,158.33,Strut,12.40
52028065AF,Crown,14.00,6.00,4.75,38.33,"Coolant Bottle",0.70
J3189718,Crown,4.00,3.50,2.00,12.5,"Thermostat Housing",1.30
52089330AB,Crown,5.25,5.25,1.75,10.83,"Coil Spring Isolator",0.60
68258599AA,Crown,11.00,4.00,3.00,58.33,"Engine Mount",1.80
5093390HK,Crown,7.00,3.00,1.50,36.67,"Parking Brake Hardware Kit",0.40
53003341X,Crown,16.00,7.00,5.50,103.33,"Fuel Sending Unit",2.10
RT21001,Crown,2.75,3.00,9.50,70.5,"Pitman Arm",4.60
68018916AB,Crown,24.25,11.50,6.25,58.33,"Windshield Washer Reservoir",1.40
A495,Crown,7.50,4.00,1.75,18.2,"Pedal Shaft",1.00
55034078,Crown,13.00,11.00,3.00,21.67,"Headlight Bezel",0.50
56002190,Crown,36.50,21.00,5.25,250,"A/C Condenser",12.60
RT29007,Crown,8.00,6.00,4.50,81.67,"Switch Plate",0.60
5074652AH,Crown,33.50,1.50,0.75,33.33,"Door Glass Weatherstrip",0.40
5003845K,Crown,4.00,2.50,2.50,46.67,"Ignition Cylinder Kit",0.40
J5758072,Crown,15.00,14.50,5.50,30,"Liftgate Glass Seal",3.40
56041394AA,Crown,8.00,7.00,7.50,258.33,Alternator,13.80
119833,Crown,4.00,4.00,1.75,7.5,"Starter Armature Bushing",0.40
52003256,Crown,15.00,12.00,1.25,11.67,"Parking Brake Cable",0.80
927416K,Crown,5.00,4.00,1.00,14.83,"Horn Button Kit",0.30
4884042AA,Crown,3.25,1.25,1.25,20,"Rocker Arm",0.13
55022077,Crown,11.50,8.50,8.00,10.67,"Bumper End Cap",0.90
53002921,Crown,2.50,2.50,1.25,15,"Wheel Bearing",0.20
55007403,Crown,10.50,6.25,1.50,21.67,"License Plate Bracket",1.10
55399212AD,Crown,20.00,19.00,3.00,65,"Door Weatherstrip",1.40
55038121AC,Crown,11.00,7.00,3.75,23.33,"Radiator Hose",1.38
RT29008,Crown,3.00,3.00,2.00,23.33,"Power Socket",0.13
68005017AC,Crown,6.00,4.00,4.00,23.33,"Hard Top Seal",0.19
RT32012,Crown,8.00,7.50,4.50,81.67,"Wheel Spacer Set",7.20
52123612RRK,Crown,8.00,6.00,4.50,131.67,"Cv Joint Repair Kit",3.00
1555A185,Crown,14.75,3.00,0.12,9.17,"Exhaust Manifold Gasket",0.13
5019026AA,Crown,3.00,3.00,1.50,15,"Output Seal",0.20
53011035,Crown,11.50,3.00,1.00,30,"Accessory Drive Belt",0.40
J4487711,Crown,3.50,3.50,1.50,13.33,"Turn Signal Cam",0.10
5184332AA,Crown,2.50,2.00,2.00,7.5,Lifter,0.06
52000177,Crown,58.00,7.50,5.00,108.33,Bumper,16.00
33003391,Crown,2.50,2.50,18.00,14.17,"Hot Air Duct",0.10
5072990AD,Crown,14.25,13.75,3.50,233.33,"Clutch Kit",14.60
5143127AA,Crown,4.00,4.00,1.75,25,"Blower Motor Resistor",0.20
52853431AA,Crown,41.25,5.50,5.50,375,"Drive Shaft",19.20
52088431,Crown,2.00,2.00,2.00,10,"Track Bar Bushing",0.30
82208300K,Crown,29.00,5.75,4.75,46.67,"Cabin Air Filter Kit",1.60
4338942,Crown,0.25,0.50,0.50,0.83,"Oil Pickup Tube O-Ring",0.02
68091523AA,Crown,67.00,22.00,9.25,200,Fascia,6.00
55134656,Crown,1.50,0.75,0.25,3,"Weatherstrip Cap",0.10
998475HT,Crown,3.25,3.25,1.25,10.83,"Headlight Wiring Repair Harness",0.06
4676589,Crown,3.50,3.00,2.75,11.25,"Tail Light Bulb Socket",0.13
68229290AC,Crown,34.00,19.50,7.00,173.33,Radiator,11.00
68211202AB,Crown,12.00,8.25,7.00,283.33,"Water Pump",5.80
68203108AA,Crown,6.75,2.75,0.75,14.17,"Brake Pad Spring",0.13
56006965,Crown,1.50,1.00,0.25,5,"Circuit Breaker",0.10
G107823,Crown,0.50,0.50,0.25,0.23,"Connecting Rod Locknut",0.10
52003479,Crown,12.50,7.00,3.00,20.83,"License Plate Bracket",0.40
5160255AB,Crown,3.25,1.25,1.25,3.33,"Tail Lamp Mounting Grommet",0.02
55013350,Crown,3.00,2.75,2.00,7.83,"Spare Tire Bumper",0.40
5012841AA,Crown,11.50,11.50,5.75,533.33,"Ring & Pinion Kit",16.50
640783,Crown,2.00,2.00,0.25,0.52,"Input Shaft Snap Ring",0.10
4884765AA,Crown,3.25,3.25,1.25,7.5,"Ignition Coil Gasket",0.10
68087455AA,Crown,2.75,2.75,0.50,10,"Output Seal",0.06
5149211AE,Crown,10.00,10.00,2.00,25,"Ignition Wire Set",0.69
83503582,Crown,4.50,4.50,4.50,90,"Cooling Fan Motor",3.10
52107654AC,Crown,14.50,14.00,5.25,208.33,"Clutch Hydraulic Assembly",2.40
56026876,Crown,4.00,4.00,4.00,8.25,"Distributor Cap",0.10
6505319AA,Crown,1.50,0.75,0.75,2.33,Retainer,0.20
68003262AA,Crown,5.50,5.00,5.00,58.33,"Pinion Flange",3.50
55399213AD,Crown,20.00,19.00,3.00,65,"Door Weatherstrip",1.40
68223470AA,Crown,23.50,6.25,5.00,40,"Fascia Bracket",1.20
RT31047,Crown,16.00,15.50,10.75,581.67,"Big Brake Kit",85.00
5155459AF,Crown,13.50,9.00,8.00,96.67,Mirror,3.70
68033193AA,Crown,8.50,7.50,1.25,17.5,"Cabin Air Filter",0.30
56041019,Crown,25.00,5.00,2.50,148.33,"Ignition Coil",4.60
68145055AA,Crown,25.50,5.50,4.25,283.33,"Axle Shaft Assembly",14.20
55055047,Crown,1.50,8.50,8.50,17.08,"Headlight Bezel",0.20
52004749,Crown,4.00,2.50,2.50,24.17,"Bump Stop",0.60
83501938,Crown,9.00,6.75,1.00,27.22,"Carburetor Repair Kit",0.30
5281351AC,Crown,12.00,3.50,1.00,41.67,"Accessory Drive Belt",0.60
56027028,Crown,4.00,4.00,12.00,141.67,Distributor,2.10
52067576,Crown,12.50,12.50,5.00,131.67,"Steering Knuckle",13.00
52098378,Crown,42.00,10.00,10.00,650,"Drive Shaft",20.40
CAK10,Crown,28.00,26.50,4.50,375,"Control Arm Kit",30.60
55038011AB,Crown,14.00,11.50,6.00,40,"Coolant Bottle",1.06
68018929AA,Crown,18.00,2.50,1.00,23.33,"Wiper Blade",0.20
5455348,Crown,1.00,1.00,1.00,1.67,"Hood Bumper",0.10
4864220X,Crown,3.00,3.00,2.00,5,"Shift Retainer Seal",0.10
5143696KR,Crown,3.00,3.00,3.00,26,"Brake Caliper Rebuild Kit",0.40
RT28092,Crown,23.25,10.00,8.50,316.67,"LED Light Bar & Hood Bracket Kit",12.00
RT28087,Crown,9.25,4.00,2.00,18,"LED Light Bar Hood Bracket Set",1.60
53002924,Crown,2.50,2.50,1.00,7.5,"Wheel Bearing Cup",0.10
6104718AA,Crown,1.00,1.00,0.50,5,Nut,0.02
5DN63SS5,Crown,70.00,19.00,17.00,158.33,Fascia,9.70
52108147AA,Crown,13.00,11.00,2.50,43.33,"Intermediate Plate",1.20
5FB63RXA,Crown,3.75,1.00,0.75,5.67,"Door Pin Insert",0.06
5184546AC,Crown,12.00,8.00,3.25,60,"Engine Oil Pan",2.19
4891577AC,Crown,2.50,2.00,2.00,43.33,"Fuel Injector",0.13
68004070AB,Crown,5.00,5.00,3.00,58.33,"Pinion Flange",3.30
RT29012,Crown,2.50,2.00,2.00,20,"Rocker Switch",0.06
5252508,Crown,3.25,3.25,1.25,26.67,"Pinion Bearing Set",0.80
68224851AE,Crown,6.00,3.00,3.00,23.33,"Sway Bar Link",0.60
68253514AA,Crown,4.00,4.00,4.00,70,"Thermostat & Housing",0.40
53004539,Crown,11.00,9.25,5.25,50,"Shift Boot",2.20
52060024AE,Crown,43.00,3.50,2.25,73.33,"Track Bar",9.00
68258363AA,Crown,17.00,1.50,1.50,11.67,"Brake Hose",0.20
4806224AE,Crown,2.50,2.00,2.00,14.17,"Side Repeater Light",0.06
53022320AB,Crown,4.00,4.00,0.06,3.33,"Throttle Body Gasket",0.06
MU159002,Crown,2.00,0.75,0.75,4,"Wheel Stud",0.13
52000865,Crown,9.75,9.75,1.25,25,"Parking Brake Cable",1.10
SK3,Crown,56.50,5.25,4.00,215,"Steering Kit",22.60
52001736,Crown,14.00,14.00,5.00,15,"Steering Adjuster",1.20
83502960PL,Crown,24.00,18.00,17.50,316.67,"Fuel Tank",19.00
83504410,Crown,3.50,3.50,1.25,36.67,"Input Shaft Bearing",0.30
RT28085,Crown,4.00,4.00,4.00,37.5,"LED Cube Flood Lamp",1.60
53010311,Crown,12.75,3.00,1.00,38.33,"Accessory Drive Belt",0.50
CAK12,Crown,23.25,10.25,8.50,133.33,"Control Arm Kit",15.60
5066650AA,Crown,13.50,5.25,5.00,441.67,"Cluster Gear",15.80
68069532AA,Crown,5.00,5.00,5.00,191.67,"Mass Air Flow Sensor",0.60
CAK14,Crown,28.25,8.75,8.25,203.33,"Control Arm Kit",22.20
55397093AC,Crown,3.25,3.25,1.25,4.83,"Hard Top Nut",0.13
68029024AB,Crown,15.25,4.25,4.25,36.67,"Sway Bar Link",1.60
55029455K,Crown,6.00,5.50,2.00,24.83,"Door Striker",0.70
5156106AD,Crown,6.00,6.00,6.00,183.33,Clockspring,0.80
J0638513,Crown,1.50,1.50,0.75,4.17,"Crankshaft Pulley Nut",0.10
68084183AA,Crown,3.25,3.25,0.50,11.67,"Pinion Seal",0.06
RT21047,Crown,1.25,4.25,2.75,43.5,"Sway Bar Link",0.60
52107652MC,Crown,4.00,4.00,12.00,103.33,"Clutch Master Cylinder",1.20
55157411AD,Crown,56.00,18.00,9.00,41.67,"Fender Liner",2.40
83500580,Crown,3.25,3.25,3.25,36.67,"Cluster Gear Bearing",0.40
52079873AA,Crown,15.00,5.50,3.00,14.17,"Radiator Hose",0.70
E0055277AA,Crown,44.50,12.50,10.25,108.33,"Exhaust Pipe",6.40
52005477,Crown,12.75,12.00,1.50,20,"Brake Dust Shield",0.80
68022628AD,Crown,28.25,13.25,8.25,158.33,"Steering Knuckle",23.60
52009527,Crown,5.75,5.50,2.50,13.33,"Parking Brake Adjuster Kit",0.60
68223469AA,Crown,24.00,6.50,5.00,40,"Fascia Bracket",1.20
68141376AB,Crown,3.25,1.25,1.25,40,"A/C Pressure Transducer Valve",0.06
83501398,Crown,6.00,4.50,29.00,61.67,"Valve Cover",8.50
1FU931X9AC,Crown,3.25,3.25,1.25,13.33,"Ignition Switch",0.06
J3242678,Crown,2.50,2.00,2.00,9.17,"Valve Spring",0.20
5105309AB,Crown,3.00,3.00,3.00,12.5,"Differential Bushing",1.00
52000619,Crown,1.50,1.50,1.00,1.33,"Engine Damper Bushing",0.10
83500515,Crown,1.75,1.00,1.00,25,"Reverse Gear Pin",0.10
J8134441020,Crown,4.00,4.00,4.00,60,"Piston & Pin",1.60
52060013AA,Crown,2.50,2.25,2.00,4.17,"Sway Bar Bushing",0.20
68003533AA,Crown,36.00,7.50,7.50,248.33,"Axle Shaft Assembly",26.00
RT30022,Crown,8.25,7.50,4.50,27,"Mirror Head Set",1.40
A410,Crown,2.50,2.50,0.25,1.33,"Main Shaft Oil Slinger",0.10
5066241AB,Crown,0.75,0.75,0.19,3.17,"Keyless Remote Transmitter Battery",0.02
68087448AC,Crown,3.25,3.25,1.25,6.66,"Drive Shaft Retainer & Bolt Set",0.25
4671929AC,Crown,7.00,2.25,2.00,36.67,"Speed Control Switch",0.13
83502681,Crown,3.50,3.25,3.25,63.33,"Input Shaft Bearing",1.10
83506077,Crown,14.00,2.00,1.25,28.33,"Third Gear Bearing",0.40
55076222MK,Crown,8.00,6.00,4.25,77.5,"Door Handle Kit",2.80
5011973AA,Crown,8.00,7.50,4.75,131.67,"Brake Caliper",9.20
52114548AC,Crown,36.00,7.50,7.50,123.33,"Axle Shaft",23.00
J3223414,Crown,3.25,1.00,0.75,4.5,"Brake Caliper Key",0.20
A1242,Crown,15.00,10.50,2.00,28.33,"Emergency Brake Cable & Handle",2.00
5015606AA,Crown,14.00,13.75,3.25,243.33,"Clutch Kit",19.50
56027906AC,Crown,3.25,1.25,1.25,35,"Power Steering Pressure Switch",0.13
53022317AC,Crown,3.00,3.00,3.00,30,"Crankshaft Sprocket",0.60
68244088AA,Crown,13.50,10.00,9.50,48.33,"Coolant Bottle",2.60
53010624AC,Crown,9.75,7.00,5.75,125,"Oil Pump Drive Assembly",2.50
4883445AA,Crown,24.50,3.50,1.50,61.67,"Accessory Drive Belt",0.60
5066840AA,Crown,6.25,1.00,1.00,50,"Glow Plug",0.13
83503514,Crown,1.25,1.00,0.25,1.17,"Shift Fork Bushing",0.10
5012456AB,Crown,41.00,5.75,5.75,125,"Axle Shaft Assembly",20.00
52087852,Crown,3.00,3.00,2.00,13.33,"Control Arm Bushing",0.60
5039149AB,Crown,1.75,1.75,1.25,4.42,"Sway Bar Bushing",0.13
68052383AA,Crown,3.25,3.25,1.25,10.42,"Brake Caliper Pin Kit",0.25
4892791AA,Crown,20.00,3.00,1.00,36.67,"Accessory Drive Belt",0.40
5013368AA,Crown,3.50,3.50,0.50,26.67,"Synchronizer Blocking Ring",0.10
55079293AH,Crown,58.00,21.00,18.00,48.33,"Fender Liner",2.70
5166780AA,Crown,8.00,4.00,4.00,26.67,"Fuel Filter",0.80
3184908E,Crown,14.00,13.50,3.00,200,"Clutch Kit",21.70
68273402AA,Crown,31.50,18.00,5.00,125,"A/C Condenser",7.40
83505447,Crown,4.00,3.75,1.75,64.13,Bearing,1.30
640763,Crown,3.00,3.00,3.00,26.67,"Fuel Gauge",0.20
5086639AA,Crown,8.25,8.25,5.50,366.67,"Ring & Pinion Kit",12.40
4669865,Crown,3.00,3.00,3.00,10.83,"Emissions Vent Valve",0.19
8133730K,Crown,9.00,8.00,3.50,81.67,"Hub Kit",10.00
RT21022,Crown,6.25,6.00,3.00,41.67,"Hd Shackle Kit",7.10
988003,Crown,1.63,1.50,0.50,11.67,"Dash Light",0.02
68083133AB,Crown,10.00,4.00,0.12,9.5,"Coolant Crossover Gasket",0.10
68109898AC,Crown,79.00,20.00,12.00,233.33,Fascia,6.40
5105878AA,Crown,8.00,4.00,4.00,4,"Sway Bar Bushing",1.20
648065,Crown,4.50,4.50,2.00,48.33,"Carburetor Repair Kit",0.31
55177257AB,Crown,3.25,3.25,1.25,20,"Mucket Seal",0.06
55076307,Crown,3.25,1.25,1.25,10,"Door Lock Cylinder Lever",0.06
4560182AF,Crown,10.50,10.50,10.00,141.67,"Brake Booster",7.60
55079049K,Crown,3.25,1.25,1.25,20,"Windshield Washer Nozzle Set",0.06
52003607,Crown,16.75,1.00,1.00,20,"Brake Hose",0.40
4801852AB,Crown,8.00,7.50,4.75,158.33,Starter,5.30
4723518C,Crown,20.50,12.50,9.00,158.33,"Evaporator Core",7.30
5191215HK,Crown,4.00,4.00,1.75,23.33,"Parking Brake Hardware Kit",0.40
53009549AB,Crown,0.25,6.75,19.25,10,"Cylinder Head Gasket",0.40
68263133AA,Crown,3.25,3.25,1.25,14.17,"Brake Caliper Pin Kit",0.13
52126244AA,Crown,6.00,3.50,3.50,23.33,"Fuel Filter",0.90
RT28104,Crown,15.50,8.25,5.25,300,"LED Headlight Kit",4.60
4446361,Crown,0.75,0.75,0.25,2,"Pedal Bushing",0.06
83503485,Crown,4.50,4.25,4.00,128.27,"Power Steering Pump Body",2.50
RT10835T,Crown,59.00,23.25,11.00,1153.05,"Bowless Soft Top",62.40
5011985AA,Crown,2.50,2.50,0.50,7.5,"Brake Caliper Boot",0.10
68246496AA,Crown,15.25,4.25,4.25,30,"Sway Bar Link",1.00
1CJ57DX9AD,Crown,6.00,3.00,3.00,10.83,"Hard Top Mounting Knob",0.20
RT20023,Crown,28.25,13.25,8.25,90,"Evap Skid Plate",23.00
XYZ1993S,Crown,15.00,14.25,5.00,283.33,"Clutch Kit",21.00
4874302,Crown,30.00,6.00,5.00,248.33,"Axle Shaft Assembly",17.90
5184349AC,Crown,8.00,7.00,4.50,183.33,"Throttle Body",2.20
6506161AA,Crown,1.00,0.88,0.88,2.83,Screw,0.02
4643448,Crown,0.75,0.75,0.75,2.5,"Clutch Master Cylinder Bushing",0.02
83500525,Crown,1.50,0.63,0.63,1.83,"Shift Lever Housing Bolt",0.10
83500934,Crown,6.50,4.00,4.25,15.83,"Distributor Cap",0.50
55176476AB,Crown,2.00,4.50,4.50,11.5,"Door Handle",0.10
68143076AD,Crown,70.00,18.00,10.50,165,Fascia,5.20
68102087AA,Crown,6.25,1.00,1.00,26.67,"Glow Plug",0.13
68079924AA,Crown,56.00,31.00,9.50,158.33,Fender,9.00
52077578,Crown,15.00,12.00,2.00,24.17,"Throttle Valve Cable",0.70
4886373AA,Crown,19.50,11.50,4.25,100,"Case Half",5.50
52022039,Crown,52.00,16.00,8.25,198.33,"Muffler & Tailpipe",20.00
68005015AC,Crown,6.00,4.00,4.00,38.33,"Hard Top Seal",0.19
5184293AH,Crown,8.00,7.50,4.50,56.67,"Harmonic Balancer",6.00
52002633PLK,Crown,35.00,22.00,13.00,400,"Fuel Tank Kit",23.60
52040426,Crown,6.75,2.50,2.50,13.33,"Bump Stop",1.90
D30456JK,Crown,15.50,11.25,7.00,316.67,"Ring & Pinion",10.20
56028394AD,Crown,6.00,4.00,4.00,43.33,"Ignition Coil",0.80
56000887,Crown,10.75,6.50,5.75,120,Headlight,2.20
5093542AA,Crown,8.75,8.00,3.50,83.2,"Brake Caliper",5.80
A6118,Crown,33.00,7.50,7.50,80,Muffler,10.00
RT25004,Crown,5.75,4.00,1.75,25,"Door Hinge Bushing Kit",0.31
RT34091,Crown,7.00,3.75,3.00,46.67,"Hood Hinge Set",2.88
55079049AA,Crown,1.50,1.25,0.62,11.67,"Windshield Washer Nozzle",0.02
83506252,Crown,3.50,3.50,0.25,14.17,"Synchronizer Blocking Ring",0.30
4891970AB,Crown,8.00,7.50,4.50,191.67,"Throttle Body",2.20
5143096AA,Crown,18.00,11.50,10.00,233.33,"Evaporator Core",5.90
MFK22,Crown,14.00,13.50,3.25,16.66,"Master Filter Kit",1.60
J3223413,Crown,3.50,0.25,0.25,1,"Brake Caliper Spring",0.10
52105728AE,Crown,41.25,5.50,5.50,366.67,"Drive Shaft",18.00
68224852AE,Crown,8.00,2.50,2.50,23.33,"Sway Bar Link",0.60
68052375AA,Crown,3.00,3.00,2.00,16.5,"Brake Caliper Rebuild Kit",0.40
5159176AA,Crown,5.00,5.00,5.00,100,"Input Bearing Retainer",0.08
55397132AB,Crown,2.50,2.00,2.00,15.83,"Door Surround Knob",0.06
RT20034,Crown,55.00,11.00,1.75,283.33,"Rocker Panel Guard Set",19.00
5012432AA,Crown,2.50,8.00,2.50,60,"Ball Joint Set",2.10
52128431AC,Crown,16.00,12.00,2.00,23.33,"Brake Hose",0.40
4591847AC,Crown,8.00,7.50,4.50,191.67,"Throttle Body",2.60
4781255AA,Crown,15.00,3.25,0.25,8.83,"Exhaust Manifold Gasket",0.30
55157319AA,Crown,3.25,1.25,1.25,11.67,"Windshield Washer Nozzle",0.06
4666068AC,Crown,7.50,5.25,0.06,7.5,"Water Pump Gasket",0.06
5012457AB,Crown,30.00,6.00,4.50,125,"Axle Shaft Assembly",13.00
55395274AU,Crown,22.00,14.00,2.50,56.67,"Door Weatherstrip",1.80
68051842AA,Crown,28.25,8.75,8.25,90,Strut,11.60
68139723AA,Crown,4.00,2.50,1.25,5,"Exhaust Insulator",0.20
5355457K,Crown,11.50,10.00,4.00,76.67,"Bumperette Kit",7.10
53008778,Crown,2.50,1.50,0.75,3.17,"Distributor Rotor",0.10
5012603AA,Crown,3.50,2.50,0.75,9,"Washer Reservoir Cap",0.10
52009562,Crown,3.25,2.25,0.50,10,"Pedal Pad",0.06
55038001AH,Crown,31.50,28.00,9.00,283.33,Radiator,14.20
5168158AA,Crown,31.50,22.75,5.00,241.67,"Control Arm",29.20
4779869AC,Crown,6.00,6.00,6.00,108.33,"Hub Assembly",7.40
55155990AA,Crown,5.75,6.00,5.50,25.83,"Bumper Bracket",1.60
68260443AA,Crown,3.25,1.25,1.25,14.17,"Windshield Washer Nozzle",0.06
RT25006,Crown,37.75,22.00,4.50,633.33,"Tube Door Set",48.60
5047594AA,Crown,2.50,2.00,2.00,4.83,"Oil Filler Cap",0.13
5168167AB,Crown,10.00,6.75,6.75,63.33,Strut,10.00
68254966AB,Crown,63.00,27.00,14.00,108.33,"Fender Liner",2.60
53022316AC,Crown,4.00,4.00,1.75,43.33,"Timing Chain",0.80
J5358444,Crown,30.00,4.00,4.00,30.83,"Air Intake Duct",0.60
RT28033,Crown,25.75,5.50,4.25,666.67,"LED Light Bar & Hood Bracket Kit",4.56
5093278AB,Crown,0.44,0.44,0.31,2.67,"Bleeder Screw Cap",0.02
5303842AB,Crown,10.50,10.50,10.50,125,Headlight,3.30
J5469603,Crown,23.00,13.50,3.00,78.33,"Rear Glass Weatherstrip",3.20
68080831AA,Crown,0.50,0.50,0.25,14,"Fuel Injector O-Ring Kit",0.02
RT28080,Crown,9.00,8.50,7.38,100,"LED Tail Light Set",3.00
68083225AA,Crown,3.25,3.25,1.25,98.34,"Main Shaft Bearing",1.00
68207291AC,Crown,15.50,10.88,2.00,15,"License Plate Bracket Kit",1.20
52010309AB,Crown,0.75,1.00,1.00,0.67,"Pedal Bushing",0.02
6503259,Crown,5.50,3.00,0.75,2.33,Screw,0.02
6503598,Crown,1.25,1.00,1.00,4.33,Retainer,0.10
4483485,Crown,2.50,2.25,2.00,7.5,"Balance Shaft Gear",0.20
68197298AB,Crown,31.50,18.00,5.00,233.33,"Cooling Fan Module",9.20
53011098,Crown,14.00,4.00,1.00,25,"Accessory Drive Belt",0.70
53021779K,Crown,18.25,13.50,8.00,80,"Engine Oil Pan Kit",8.00
68266515AA,Crown,4.00,2.50,2.50,86.67,"Blower Motor Resistor",0.20
68091521AA,Crown,74.00,23.00,14.00,216.67,Fascia,4.60
56003151,Crown,17.00,4.00,4.00,103.33,"Power Antenna",2.40
52001153,Crown,9.00,9.00,1.00,20,"Parking Brake Cable",1.00
5013366AA,Crown,3.50,3.50,0.50,26.67,"Synchronizer Blocking Ring",0.20
52017863,Crown,4.00,4.00,4.00,21.67,"Transmission Mount Bushing",0.90
56030012,Crown,14.00,5.00,3.00,18.33,"Wiper Arm",0.30
68270814AB,Crown,45.00,21.50,11.75,48.33,"Fender Liner",2.60
RT34102,Crown,13.50,8.00,5.00,55,"Tail Light Guard Set",2.60
52089169AE,Crown,1.00,28.00,3.50,18.33,"Power Steering Return Hose",0.40
52002393,Crown,4.25,6.00,2.00,12.5,"Bump Stop",1.40
68065923AA,Crown,18.00,13.75,3.50,43.33,"Transmission Pan",4.80
83500999,Crown,12.00,12.00,2.50,6.67,"Air Filter",1.10
5013595AB,Crown,19.00,5.00,1.75,15.83,"Cabin Air Filter",0.40
68247339AA,Crown,8.75,8.25,2.50,19.17,"Air Filter",0.60
83504575,Crown,7.00,6.00,2.00,123.33,"Transfer Case Chain",4.50
4777976AA,Crown,3.50,1.25,1.25,15.67,Lifter,0.10
55136699AC,Crown,4.00,3.50,9.50,46.67,"Liftgate Handle",0.90
52005183,Crown,12.50,10.00,5.75,41.67,"Coolant Bottle",1.20
68004052AB,Crown,31.50,18.00,5.00,241.67,"A/C Condenser",6.40
5105770AD,Crown,7.25,7.00,5.25,90,"Hub Assembly",7.40
RT28036,Crown,9.25,8.75,2.75,341.67,"LED Fog Lamp Kit",2.38
6505667AA,Crown,1.00,1.00,1.00,1.17,Retainer,0.10
5191345AA,Crown,8.25,8.00,8.00,113.33,"Blower Motor",3.20
68032204AB,Crown,6.00,3.00,3.00,17.5,"Oil Filter",0.30
52108327AC,Crown,16.50,11.25,2.50,46.67,"Transmission Pan",3.20
68145054AA,Crown,41.25,5.50,5.50,283.33,"Axle Shaft Assembly",20.40
52089258AC,Crown,16.00,4.25,2.50,20.84,"Brake Hose",0.40
53013490AA,Crown,3.25,3.25,1.25,80,"Fuel Injector",0.10
6503106,Crown,1.75,0.88,0.88,3,Retainer,0.02
55395275AU,Crown,19.00,19.00,3.00,56.67,"Door Weatherstrip",1.80
68142880AB,Crown,3.50,2.50,1.00,4.17,"Exhaust Insulator",0.20
68213205AA,Crown,8.00,6.00,4.50,27.5,"Fog Light Bezel",0.40
4797689,Crown,4.75,4.25,3.50,63.33,Yoke,2.30
68299171AB,Crown,47.50,24.00,12.00,48.33,"Fender Liner",3.00
5758172MK,Crown,8.00,6.00,4.25,89.17,"Door Handle Kit",3.00
68246489AA,Crown,4.00,4.00,4.00,46.67,"Ball Joint",1.40
52114574AA,Crown,8.25,8.00,8.00,266.67,"Differential Case Assembly",15.50
5066485AA,Crown,32.50,7.50,7.50,258.33,"Axle Shaft Assembly",20.50
5106043AB,Crown,12.00,4.50,3.25,63.33,"Clutch Master Cylinder Actuator",0.70
68069675AD,Crown,20.50,3.75,3.75,63.33,"Shock Absorber",6.40
68002896AA,Crown,20.50,13.00,4.50,58.33,"Window Regulator",4.31
4798123,Crown,4.50,2.50,2.50,15,"Slip Yoke Boot",0.20
52002658,Crown,2.00,2.25,4.00,6.67,"Bump Stop",0.40
68270815AB,Crown,46.50,22.00,11.50,48.33,"Fender Liner",2.80
4882350,Crown,32.00,8.00,7.75,250,"Axle Shaft Assembly",21.70
H7128,Crown,7.00,3.00,1.50,11.5,"Drum Brake Hardware Kit",0.60
53010334,Crown,28.50,7.00,5.50,916.67,"Cylinder Head",71.40
4861667AA,Crown,3.25,1.25,1.25,81.67,"Fuel Injector",0.06
68038826AB,Crown,8.25,8.00,8.00,128.33,"Blower Motor",3.60
68022629AD,Crown,28.25,13.25,8.25,158.33,"Steering Knuckle",24.40
