REPLACES_PART,DESCRIPTION_NOTUPDATE,QUANTITY
5045495AA         ,"GASKET, LEFT   ",717
5045496AA         ,"GASKET, RIGHT  ",617
5047002AA         ,"VALVE, PCV     ",50
5047063AA         ,"VALVE, PCV     ",4331
5047077AA         ,O-RING         ,970
5047138AB         ,WATER PUMP     ,4
5047167AA         ,"SEAL, REAR     ",987
5047389AA         ,"PUMP, WATER    ",475
5047390AA         ,"GASKET, W. PUMP",984
5047439AB         ,"GASKET, SPARK  ",3908
5047440AC         ,"GASKET, COVER  ",968
5047453AA         ,"SEAL, VALVE    ",4900
5047505AA         ,"TENSIONER, TIMI",271
5047594AA         ,"CAP, OIL FILLER",2095
5047790AA         ,"ARM, TENSIONER ",14
5047791AA         ,"GUIDE,SECONDARY",19
5047792AA         ,"ARM, TENSIONER ",14
5047794AA         ,"GUIDE, LEFT    ",16
5047861AA         ,THERMOSTAT ASSY,337
5048234AA         ,"GASKET, COVER  ",992
5048235AA         ,"GASKET, PLUG   ",1912
5054227AA         ,"BUMPER, HOOD   ",10588
5054330AG         ,HOOD           ,4
5054353AB         ,"SUPPORT,LIFT   ",3
5056203AD         ,SUPPORT        ,2
5058156AI         ,"BOTTLE, COOLANT",308
5058171AE         ,"HOSE, RADIATOR ",672
5058413AE         ,"HOSE, LOWER    ",8
5058456AE         ,"BOTTLE, COOLANT",12
5058482AH         ,"HOSE, RADIATOR ",527
5058489AF         ,"HOSE, LOWER    ",4
5058492AE         ,"HOSE, UPPER    ",7
5058693AA         ,"FILTER, CABIN  ",255
5061585AA         ,EVAPORATOR     ,4
5062150AE         ,CLUTCH PACKAGE ,2
5064771AC         ,ANTENNA CABLE  ,403
5065502AC         ,"FENDER LINER,RF",23
5065503AC         ,"FENDER LINER,LF",7
5065659AA         ,SUPPORT        ,12
5066022AA         ,"AXLE, RIGHT    ",7
5066023AA         ,"AXLE, LEFT     ",18
5066024AA         ,"BOOT KIT, INNER",15
5066025AB         ,"BOOT KIT,OUTER ",60
5066047AA         ,"SPACER, PINION ",1212
5066050AA         ,"YOKE, PINION   ",1
5066051AA         ,GEAR & PINION  ,1
5066052AA         ,"SLINGER, PINION",5
5066053AA         ,"SEAL, PINION   ",465
5066054AA         ,"PLUG, DRAIN    ",12
5066056AA         ,"BEARING, AXLE  ",4539
5066056AB         ,"BUSHING, AXLE  ",5169
5066057AB         ,"SHAFT, AXLE    ",154
5066064AA         ,"SNAP RING, AXLE",6906
5066066AA         ,"SEAL, AXLE, FRT",2359
5066085AA         ,GEAR & PINION  ,0
5066147AA         ,SHOE & LINING  ,7
5066158AA         ,WHEEL CYLINDER ,677
5066241AB         ,BATTERY        ,268
5066245AA         ,"CLIP, BRAKE    ",68
5066246AA         ,"CLIP, BRAKE    ",58
5066309TI         ,PAD SET        ,23
5066334AA         ,"STRUT, FRONT   ",123
5066373AA         ,TIE ROD END    ,17
5066375AC         ,CLUTCH SET     ,2
5066422AA         ,"CALIPER, BRAKE ",153
5066423AA         ,"CALIPER, BRAKE ",130
5066425AA         ,"PISTON, CALIPER",3764
5066427AA         ,"PAD SET, FRONT ",36
5066427MK         ,FRONT PAD KIT  ,19
5066427T          ,"PAD SET, FRONT ",12
5066446AA         ,"SEAL, PINION   ",855
5066480AA         ,CASE ASSEMBLY  ,3
5066484AA         ,"AXLE SHAFT,(R) ",20
5066485AA         ,"AXLE SHAFT,(L) ",11
5066486AA         ,"RETAINER, SEAL ",114
5066492AB         ,GEAR + PINION  ,0
5066529AA         ,CASE ASSEMBLY  ,2
5066530AA         ,"GEAR SET, DIFF.",2
5066533AA         ,SHIM KIT       ,457
5066538AA         ,"COVER, DIFF    ",3
5066539AA         ,SHIM MASTER KIT,468
5066549AB         ,"EVAPORATOR, A/C",1
5066555AB         ,HEATER CORE    ,4
5066606AB         ,"FASCIA, FRONT  ",6
5066646AA         ,"BEARING,CLUSTER",7
5066650AA         ,"CLUSTER, GEAR  ",492
5066699AA         ,PISTON KIT     ,42
5066700AA         ,BOOT & SEAL    ,127
5066733K          ,"BEARING SET,CRA",11
5066733K25        ,"MAIN SET, .25MM",31
5066733K5         ,"MAIN SET, .5 MM",26
5066733K010       ,MAIN SET .010  ,2
5066756AA         ,SEAL           ,587
5066763AA         ,"O-RING, CRANK  ",4776
5066779AA         ,"SENSOR, TEMP   ",906
5066786AA         ,GASKET         ,1298
5066806AA         ,"GASKET, THERMO.",497
5066840AA         ,GLOW PLUG      ,39
5066867AA         ,RESERVOIR      ,7
5066901AA         ,"GASKET, OIL PAN",1915
5066921AA         ,"GASKET, TIMING ",229
5066938AA         ,"PULLEY, IDLER  ",153
5066974AA         ,"WIPER BLADE,20""",12
5069008AA         ,BOLT KIT (10)  ,1
5069421AA         ,RESERVOIR      ,574
5072145AA         ,"RESISTOR,BLOWER",8
5072176AA         ,"FILTER, CABIN  ",268
5072212AA         ,"YOKE, PINION   ",4
5072216AA         ,"PAD SET, FRONT ",17
5072265AA         ,"SEAL, PINION   ",3840
5072294AA         ,"LOCK CYLINDER, ",6
5072307AA         ,"SEAL, OUTPUT   ",4487
5072390AA         ,"BOOT KIT, CV   ",3
5072391AA         ,"BOOT KIT, OUTER",6
5072437AB         ,"BELT,SERPENTINE",198
5072440AB         ,"TENSIONER, BELT",364
5072444AA         ,TIE ROD END    ,86
5072445AA         ,TIE ROD END    ,17
5072458AA         ,"BEARING, INPUT ",0
5072473AA         ,"SEAL, PINION   ",340
5072474AC         ,"GASKET SET,UPPE",33
5072492AB         ,"GEAR SET, FRONT",1001
5072526AB         ,MASTER CYLINDER,189
5072705AB         ,THERMOSTAT ASSY,637
5072722AA         ,"SEAL, INJECTOR ",3925
5072759AA         ,"SENSOR, CAM    ",123
5072894AA         ,"RING, AXLE     ",1992
5072934AE         ,"LINK,STABILIZER",893
5072935AC         ,"LINK,STABILIZER",790
5072958AC         ,BALL JOINT     ,27
5072976AA         ,CASE ASSEMBLY  ,1
5072990AB         ,CLUTCH SET     ,5
5072990AD         ,CLUTCH SET     ,9
5072997AB         ,RING & PINION  ,1
5073013AA         ,RING & PINION  ,1
5073014AA         ,"CASE ASSY, DIFF",1
5073110AA         ,"CASE, DIFF.    ",0
5073178AA         ,EVAPORATOR     ,8
5073180AA         ,"CORE, HEATER   ",5
5073246AA         ,RING & PINION  ,2
5073247AA         ,"GEAR & PINION, ",0
5073266AB         ,RING & PINION  ,2
5073524AA         ,"RING SET,PISTON",1
5073626AA         ,"CAP, RESERVOIR ",4433
5073945AA         ,"PLUG, OIL PAN  ",17
5073946AA         ,WASHER         ,498
5074168AD         ,"SUPPORT, LIFT  ",43
5074652AH         ,WEATHERSTRIP   ,965
5074653AH         ,WEATHERSTRIP   ,950
5074714AG         ,WEATHERSTRIP   ,893
5074715AG         ,WEATHERSTRIP   ,916
5078336AA         ,"SENSOR,PRESSURE",863
5078554AA         ,"SENSOR, SPEED  ",2
5078556AA         ,"OIL PAN, TRANS.",419
5078556K          ,OIL PAN KIT    ,40
5078930AA         ,"SENSOR, SPEED  ",10
5080047AB         ,GLOW PLUG      ,3
5080215AA         ,"CHAIN, TRANSFER",9
5080246AA         ,"PULLEY, SERPEN.",303
5080251AA         ,"BELT, ACCESSORY",829
5080319AA         ,IDLER PULLEY   ,893
5080352AA         ,"SENSOR, CRANK  ",84
5080422AA         ,"PULLEY, SERPEN.",65
5080477AA         ,"FILTER, FUEL   ",58
5080551AC         ,"PUMP,POWER STRG",73
5080556AE         ,"PAD SET, FRONT ",4
5080563AC         ,PAD SET        ,14
5080564AA         ,"CLIP, BRAKE    ",41
5080565AA         ,"CLIP, BRAKE    ",33
5080568AB         ,SHOE & LINING  ,-1
5080868AA         ,"PAD SET, FRONT ",38
5080871AA         ,"PAD SET, REAR  ",30
5083001AA         ,"BOOT,DRIVESHAFT",2098
5083138AA         ,"SWITCH, TC     ",459
5083661AA         ,"COVER, DIFF.   ",2
5083666AB         ,"AXLE SHAFT, R  ",0
5083667AB         ,"AXLE SHAFT, L  ",36
5083669AA         ,"SLINGER, OIL   ",4053
5083673AB         ,SHIM SET       ,1
5083676AA         ,"AXLE SHAFT, R  ",99
5083677AA         ,"AXLE SHAFT, L  ",107
5083678AA         ,"RETAINER, AXLE ",380
5083697AA         ,"BRAKE ROTOR, F ",4
5083790AA         ,"CALIPER, FRONT ",174
5083791AA         ,"CALIPER, FRONT ",172
5083882TI         ,"PAD SET, REAR  ",39
5083895AC         ,"FOG LAMP, LEFT ",3
5083896AC         ,"FOG LAMP, RIGHT",4
5083993K          ,"BRG. SET, CRANK",9
5085220AC         ,"AXLE, LEFT FRT.",11
5085403AD         ,"SEAT, SPRING   ",529
5085405AC         ,"ISOLATOR, LOWER",2691
5085458AA         ,"BEARING, STRUT ",1213
5085461AB         ,"MOUNT, STRUT   ",359
5085495AC         ,"BRACKET, SHOCK ",658
5085505AD         ,ISOLATOR       ,1489
5085529AA         ,"WASHER, SHOCK  ",1826
5085960AC         ,"HOSE, BRAKE    ",676
5086002K          ,"RING SET,PISTON",3
5086169AA         ,"GEAR SET, DIFF.",4
5086282AA         ,TIE ROD END    ,274
5086301AA         ,"FILTER, OIL    ",416
5086581AA         ,WATER PUMP     ,64
5086617AA         ,"GEAR & PINION, ",1
5086632AA         ,AXLE SHAFT     ,24
5086633AA         ,AXLE SHAFT     ,4
5086639AA         ,GEAR & PINION  ,0
5086640AA         ,"AXLE SHAFT,RT  ",202
5086641AA         ,"AXLE SHAFT, L  ",196
5086674AB         ,BALL JOINT     ,13
5086774AA         ,"BEARING, WHEEL ",2
5086930AB         ,SHOE & LINING  ,347
5086930HK         ,HARDWARE KIT   ,617
5086982AA         ,"BEARING, WHEEL ",7
5091100AB         ,"MAST, ANTENNA  ",2440
5093047AA         ,"SHIM KIT, DIFF.",19
5093111AA         ,"LINK,STABILIZER",932
5093180AA         ,"CALIPER, BRAKE ",25
5093181AA         ,"CALIPER, BRAKE ",35
5093183AD         ,"PAD SET, FRONT ",72
5093183MK         ,FRONT PAD KIT  ,17
5093184AA         ,"PIN KIT, BRAKE ",79
5093185AA         ,"KIT, SPRING    ",229
5093186AA         ,"PISTON, CALIPER",15
5093187AA         ,"SEAL, PISTON   ",368
5093188AA         ,"BOOT, CALIPER  ",914
5093189AB         ,BLEEDER SCREW  ,235
5093236AA         ,"CYLINDER, WHEEL",338
5093254AB         ,CLOCKSPRING    ,433
5093267AA         ,"PAD SET, FRONT ",3
5093276AA         ,"SEAL, CALIPER  ",434
5093277AA         ,"BOOT, PISTON   ",38
5093278AB         ,"CAP, BLEEDER   ",117
5093343AA         ,BLEEDER SCREW  ,165
5093355AA         ,"BOLT, CALIPER  ",263
5093376AB         ,U-JOINT        ,9
5093377AB         ,U-JOINT        ,2
5093390AA         ,SHOE & LINING  ,882
5093390HK         ,HARDWARE KIT   ,641
5093394AB         ,"SLIPPER,CALIPER",93
5093395AA         ,"BOOT, LEVER    ",4476
5093448K          ,"BEARING SET,CON",5
5093448K5         ,ROD BEARING SET,0
5093448K75        ,ROD BEARING SET,0
5093450K          ,BEARING SET (4),1
5093508AA         ,"SENSOR, CAM    ",229
5093511TI         ,"PAD SET, REAR  ",12
5093542AA         ,"CALIPER, BRAKE ",0
5093785AA         ,"GASKET, CYL.   ",1402
5093788AA         ,FUEL MODULE    ,30
5093820AB         ,U-JOINT        ,13
5093904AA         ,"GASKET,MANIFOLD",1403
5093911AB         ,WATER PUMP     ,433
5096057AA         ,"SENSOR, CAM    ",225
5096149AA         ,"MODULE, FUEL   ",3
5096256AA         ,"MOTOR, BLOWER  ",3
5096297AA         ,MUFFLER & PIPE ,59
5096298AA         ,MUFFLER & TAILP,14
5096344AA         ,RESERVOIR      ,13
5096345AA         ,"RESERVOIR,WASHE",12
5096465AA         ,BEARING        ,5
5096552AA         ,SHOE & LINING  ,30
5097737AA         ,BEARING SET    ,7
5097738AA         ,BEARING SET    ,1
5098009AA         ,MASTER CYLINDER,4
5099840AA         ,"SEAL, INPUT    ",3519
5101120AB         ,"SENSOR, AIR    ",918
5101786AA         ,"CORE,EVAPORATOR",5
5101857AA         ,PAD SET        ,7
5101898AA         ,"TAIL LAMP,RIGHT",360
5101899AA         ,"TAIL LAMP, LEFT",103
5102091AA         ,WIRE SET       ,653
5102406AA         ,WIRE HARNESS   ,198
5102531AA         ,"SHAFT, STEERING",279
5102882AA         ,"ARM, WIPER     ",937
5103014AA         ,"AXLE SHAFT, R  ",209
5103015AA         ,"AXLE SHAFT, L  ",198
5103016AB         ,GEAR & PINION  ,2
5103017AA         ,CASE ASSEMBLY  ,2
5103112AA         ,"BOOT, CALIPER  ",112
5103149AA         ,"SEAL KIT,INJECT",142
5103158AA         ,BUSHING+SLEEVE ,163
5103203AA         ,SPRING KIT     ,25
5103255AB         ,TUBE & HOSE    ,477
5103256AB         ,TUBE & HOSE    ,478
5103377AA         ,O-RING SET     ,95
5103452AA         ,"PUMP, WASHER   ",9
5103453AA         ,"PUMP, WASHER   ",3
5104688AA         ,EVAPORATOR     ,42
5104763AA         ,ALTERNATOR     ,320
5105040AC         ,"ARM, CONTROL   ",555
5105041AC         ,"ARM, CONTROL   ",1764
5105048AC         ,"PUMP, STEERING ",388
5105062AC         ,"SENSOR, ABS    ",734
5105063AD         ,"SENSOR, ABS    ",718
5105064AB         ,"SENSOR, ABS    ",469
5105065AC         ,"SENSOR, ABS    ",476
5105087AN         ,"HOSE, PRESSURE ",3
5105103AC         ,"BUSHING, STAB. ",1038
5105174AG         ,"STRUT, RIGHT   ",-12
5105175AG         ,"STRUT, LEFT    ",17
5105178AG         ,"SHOCK, REAR    ",128
5105179AG         ,"SHOCK, REAR    ",310
5105270AB         ,"LINK, TOE      ",310
5105271AC         ,"LINK, REAR     ",468
5105272AE         ,"LINK, LATERAL  ",565
5105272AJ         ,"LINK, REAR     ",194
5105290AC         ,SUPPORT        ,920
5105309AB         ,"ISOLATOR, REAR ",1184
5105489AF         ,"MOUNT,ENGINE,R ",315
5105494AC         ,"MOUNT, ENGINE  ",17
5105495AG         ,"MOUNT, ENGINE  ",656
5105513AA         ,"ROTOR, FRONT   ",51
5105514AA         ,"ROTOR, BRAKE   ",28
5105514K          ,BRAKE KIT      ,6
5105515AA         ,"ROTOR, REAR    ",9
5105515K          ,DISC BRAKE KIT ,3
5105566AA         ,"RETAINER, REAR ",2631
5105572AA         ,"SENSOR, ABS    ",501
5105573AA         ,"SENSOR, ABS    ",531
5105586AA         ,"BEARING, WHEEL ",242
5105603AD         ,"HOSE, BRAKE    ",774
5105604AD         ,"HOSE, BRAKE    ",793
5105615AB         ,"SEAL, EXHAUST  ",85
5105617AB         ,BRAKE DRUM     ,5
5105617K          ,BRAKE KIT      ,1
5105649HS         ,"AXLE HALF,RIGHT",6
5105667AG         ,"INSULATOR, LEFT",305
5105688AB         ,"LINK, LATERAL  ",178
5105688AJ         ,"LINK, REAR     ",430
5105718AC         ,"CAP, OIL       ",4746
5105770AD         ,HUB & BEARING  ,93
5105772AG         ,"AXLE, RIGHT    ",2
5105822AA         ,"ISOLATOR,SPRING",1333
5105878AA         ,BUSHING        ,3847
5105927AB         ,"LINK, TRAILING ",787
5105930AA         ,"LINK, TRAILING ",786
5106023AA         ,"CLUTCH, MODULAR",2
5106043AB         ,ACTUATOR       ,401
5106124AD         ,CLUTCH KIT     ,1
5109514AB         ,"SUPPORT, LIFT  ",3
5109605AC         ,"SUPPORT, HATCH ",4
5110502AC         ,"MOUNT, ENGINE  ",489
5112244AD         ,WEATHERSTRIP   ,404
5114037AC         ,BALL JOINT     ,2520
5114179AB         ,GASKET SET     ,1224
5114332AA         ,"ACTUATOR,CLUTCH",4
5114405AA         ,PAD SET        ,5
5114439AA         ,PAD SET        ,5
5114461AA         ,CATALYTIC CONV.,2
5115040AG         ,"MIRROR, RIGHT  ",31
5115041AF         ,"MIRROR, LEFT   ",34
5115042AG         ,"MIRROR, RIGHT  ",9
5115043AG         ,"MIRROR, LEFT   ",10
5115046AD         ,"MIRROR, RIGHT  ",31
5115047AH         ,"MIRROR, LEFT   ",15
5115226AB         ,"SUPPORT, LIFT. ",3
5115294AG         ,"MIRROR, RIGHT  ",0
5115662AC         ,"FENDER, RIGHT  ",5
5115663AC         ,"FENDER, LEFT   ",6
5116079AA         ,NOZZLE         ,4333
5116146AE         ,"WIPER MOTOR, RR",73
5116222AB         ,"LAMP, TAIL     ",6
5116223AB         ,"LAMP, TAIL     ",8
5116244AF         ,SPLASH SHIELD  ,20
5116245AF         ,SPLASH SHIELD  ,19
5116372AG         ,SKID PLATE     ,3
5127180AA         ,GEAR & PINION  ,1
5127521AA         ,"MOTOR,COOL. FAN",9
5127562AC         ,"MODULE, FUEL   ",0
5127704AA         ,"SEAL, AXLE     ",960
5134120AA         ,"BOOSTER, BRAKE ",286
5134358AA         ,"PAD SET, FRONT ",8
5134701AB         ,"CABLE, BRAKE   ",243
5135014AA         ,"BOOT KIT, INNER",12
5135255AA         ,GEAR & PINION  ,0
5135357AG         ,GASKET SET     ,43
5135573AE         ,"SHOCK, FRONT   ",57
5135651AD         ,"BALL JOINT, LOW",358
5135660AB         ,"BEARING SET,DIF",31
5135673AA         ,BEARING SET    ,21
5135674AB         ,BEARING SET    ,77
5135692AA         ,CHAIN          ,1
5135746AA         ,BELT           ,5
5135792AA         ,"GASKET SET,UPPE",174
5135793AA         ,"GASKET SET,LOWE",63
5135794AA         ,"GASKET SET,UPPR",46
5135796AA         ,"GASKET SET,LOWE",53
5135797AA         ,"GASKET SET, UPP",62
5135798AB         ,"GASKET SET,LOWE",63
5136022AH         ,"MODULE, FUEL   ",40
5137582AA         ,"PLUG,DIFF COVER",6
5137608AB         ,PIN KIT        ,720
5137609AB         ,PISTON KIT     ,91
5137665AB         ,REPAIR KIT     ,1427
5137670AB         ,"CALIPER, RIGHT ",179
5137671AB         ,"CALIPER, LEFT  ",117
5137691AA         ,RADIATOR       ,4
5139095AA         ,"BLADE,WIPER,21""",894
5139099AA         ,"CYLINDER, LOCK ",1982
5139148AA         ,MASTER CYLINDER,23
5139153AA         ,MASTER CYLINDER,30
5139719AA         ,"RESISTOR,BLOWER",71
5139720AA         ,"MOTOR, BLOWER  ",24
5139733AA         ,"PAD SET, FRONT ",7
5139836AB         ,"WIPER ARM, REAR",301
5139900AA         ,"CALIPER, RIGHT ",21
5139901AA         ,"CALIPER, LEFT  ",18
5139933AB         ,"GASKET, TIMING ",1622
5140028AA         ,RETAINER       ,780
5140332AA         ,"SENSOR, CAM    ",147
5140655AA         ,"BLADE, WIPER   ",0
5140676AA         ,FUEL FILTER    ,333
5140708AA         ,WHEEL CYLINDER ,-19
5140710AA         ,SHOE AND LINING,15
5140758AA         ,BOOT KIT       ,79
5140759AA         ,BOOT KIT       ,15
5140861AA         ,"HOSE, BRAKE    ",27
5140863AA         ,"HOSE, BRAKE    ",24
5142222AA         ,U-JOINT        ,1
5142556AA         ,"CALIPER, RIGHT ",8
5142557AB         ,"CALIPER, LEFT  ",5
5142559AA         ,"PAD SET, FRONT ",9
5142564AB         ,"CALIPER, RIGHT ",1
5142565AB         ,"CALIPER, LEFT  ",4
5142566AA         ,"PAD SET, REAR  ",10
5142573AA         ,"PULLEY, IDLER  ",395
5142579AA         ,"BELT, TIMING   ",391
5142579K          ,TIMING KIT     ,22
5142601AA         ,THERMOSTAT ASSY,-13
5142798AA         ,"TENSIONER,TIMIN",549
5142938AC         ,TIE ROD END    ,931
5142939AC         ,TIE ROD END    ,933
5142985AA         ,"PUMP, WATER    ",73
5143096AA         ,EVAPORATOR     ,5
5143099AA         ,"MOTOR, BLOWER  ",6
5143101AA         ,"CORE, HEATER   ",11
5143127AA         ,"RESISTOR,BLOWER",106
5143208AA         ,"FAN ASSY,COOL. ",6
5143209AC         ,"SHROUD, FAN    ",6
5143279AA         ,MASTER CYLINDER,6
5143311AF         ,"SWITCH, MULTIFU",14
5143312AF         ,"SWITCH, MULTIFU",15
5143313AF         ,SWITCH         ,20
5143350AC         ,"PAD SET, FRONT ",167
5143356AC         ,BOLT           ,1409
5143544AC         ,VALVE          ,9
5143553AA         ,"KEY, SENTRY    ",7
5143555AA         ,TIE ROD END    ,532
5143556AA         ,TIE ROD END    ,336
5143570AA         ,BALL JOINT     ,15
5143579AJ         ,"MODULE, FUEL   ",89
5143580AB         ,RESERVOIR      ,7
5143581AC         ,"PUMP, WASHER   ",4
5143614AA         ,"CAP, RESERVOIR ",2521
5143691AA         ,"BOOT, CALIPER  ",217
5143692AB         ,"CALIPER, BRAKE ",3
5143693AB         ,"CALIPER, BRAKE ",27
5143696AA         ,"PISTON, CALIPER",2033
5143696KF         ,REPAIR KIT     ,53
5143696KR         ,REPAIR KIT     ,77
5143697AA         ,"PIN, CALIPER   ",49
5143700AA         ,SLIPPER KIT    ,9
5143702AB         ,"CALIPER, RIGHT ",138
5143703AB         ,"CALIPER, LEFT  ",171
5143705AA         ,SLIPPER KIT    ,46
5143714AA         ,OIL SEAL       ,2891
5143715AA         ,SEAL           ,8792
5143733AA         ,OIL SEAL       ,4279
5143812AA         ,GEAR & PINION  ,5
5143977K          ,OIL PUMP KIT   ,8
5145583AD         ,"MODULE, FUEL   ",468
5145585AC         ,"MODULE, FUEL   ",85
5147190AC         ,"MOUNT,ENGINE,R ",410
5147191AC         ,"MOUNT,ENGINE,L ",416
5147213AD         ,PIPE ASSEMBLY  ,1
5147214AD         ,PIPE ASSEMBLY  ,8
5147215AD         ,MUFFLER        ,2
5149002AA         ,SPARK PLUG     ,77
5149008AA         ,"SENSOR,OIL TEMP",731
5149009AB         ,"SENSOR, CRANK  ",59
5149034AA         ,"SENSOR, CAM    ",483
5149049AB         ,"COIL, IGNITION ",79
5149054AC         ,"SENSOR, CAM    ",9
5149062AA         ,"SENSOR, OIL    ",232
5149064AA         ,SENDING UNIT   ,397
5149077AB         ,"SENSOR, TEMP.  ",780
5149078AD         ,"SENSOR, CAM    ",358
5149097AA         ,"SWITCH,OIL PRES",1009
5149141AF         ,"SENSOR,CAMSHAFT",40
5149167AD         ,"SENSOR, CRANK  ",431
5149168AI         ,"COIL, IGNITION ",185
5149170AA         ,"SENSOR, OXYGEN ",25
5149171AA         ,"SENSOR, OXYGEN ",131
5149174AB         ,"SENSOR, MAP    ",75
5149180AA         ,"SENSOR, OX     ",83
5149182AB         ,"SENSOR, AIR    ",149
5149199AA         ,"COIL, IGNTION  ",479
5149211AE         ,"WIRE SET, IGN  ",678
5149230AA         ,"SENSOR, CRANK  ",113
5149264AB         ,"SENSOR, AIR    ",26
5149265AB         ,"SENSOR, TEMP   ",1310
5149275AA         ,"ALTERNATOR,160A",2
5152076AC         ,WASHER PUMP    ,7
5154199AE         ,HUB ASSEMBLY   ,451
5154214AA         ,HUB ASSEMBLY   ,194
5154230AD         ,"SENSOR, WHEEL  ",851
5154262AA         ,"HUB, FRONT     ",310
5154322AB         ,"PUMP, AIR      ",5
5154400AC         ,"PUMP, STEERING ",8
5155456AG         ,"MIRROR, RIGHT  ",25
5155457AG         ,"MIRROR, LEFT   ",28
5155458AG         ,"MIRROR, RIGHT  ",5
5155458AK         ,"MIRROR, RIGHT  ",9
5155459AF         ,"MIRROR, LEFT   ",12
5155459AK         ,"MIRROR, LEFT   ",17
5155460AF         ,"MIRROR, RIGHT  ",6
5155461AF         ,"MIRROR, LEFT   ",0
5155462AG         ,"MIRROR, RIGHT  ",122
5155463AG         ,"MIRROR, LEFT   ",159
5156106AD         ,CLOCKSPRING    ,108
5156112AA         ,"BRACE, RADIATOR",13
5156113AA         ,SUPPORT FRAME  ,10
5156116AA         ,"BRACE, RIGHT   ",4
5156117AA         ,"BRACE, LEFT    ",10
5156134AA         ,"SUPPORT, RIGHT ",877
5156135AA         ,"SUPPORT, LEFT  ",913
5159058AC         ,"FASCIA, REAR   ",6
5159077AB         ,CLIP           ,988
5159125AA         ,AIR DAM        ,49
5159127AA         ,APPLIQUE       ,8
5159130AA         ,"FASCIA, FRONT  ",9
5159661AA         ,"RING SET,PISTON",4
5160017AA         ,"SUPPORT,LIFTGAT",9
5160047AB         ,BUMPER         ,10510
5160255AB         ,GROMMET        ,5164
5160260AA         ,PUSH PIN       ,722
5160364AD         ,TAIL LAMP      ,2
5160365AD         ,TAIL LAMP      ,3
5161084AB         ,HEATER CORE    ,18
5161294K          ,"BRG. SET, CONN.",24
5161320AC         ,RESERVOIR      ,16
5161335AF         ,"MODULE, FUEL   ",91
5161435AA         ,BEARING ASSY   ,258
5161549AA         ,CASE ASSEMBLY  ,1
5161924AA         ,REPAIR KIT     ,2
5161964AA         ,"CHAIN, TRANSFER",5
5164915AG         ,"GASKET, OIL PAN",1743
5165708AA         ,"BOTTLE, COOLANT",764
5165712AA         ,NOZZLE         ,4520
5166001AA         ,"CHAIN, TRANSFER",6
5166017AB         ,"KNUCKLE, PIVOT ",2491
5166082AB         ,CROSSMEMBER    ,8
5166780AA         ,"FILTER, FUEL   ",929
5168088AA         ,"RETAINER, STRUT",10019
5168158AA         ,"ARM, RIGHT     ",270
5168159AA         ,"ARM, LEFT      ",278
5168166AB         ,"STRUT, RIGHT   ",103
5168167AB         ,"STRUT, LEFT    ",78
5168389AA         ,"ARM, CONTROL   ",246
5168652AC         ,"STRUT, TENSION ",415
5168653AC         ,"STRUT, TENSION ",408
5170290AC         ,"LINK,STABILIZER",350
5170703AA         ,"GASKET SET,UPPE",13
5170940AA         ,"REGULATOR, RF  ",21
5170941AA         ,REGULATOR ASSY ,23
5171137AB         ,BUMP STOP      ,967
5174001AA         ,"PAD SET, FRONT ",61
5174056AA         ,"FILTER, FUEL   ",862
5174060AC         ,"LINK,STABILIZER",840
5174185AC         ,"LINK,STABILIZER",184
5174245AD         ,"LINK,STABILIZER",678
5174311AB         ,"PAD SET, FRONT ",5
5174318AA         ,SEAL SET (4)   ,57
5174319AA         ,BLEEDER SCREW  ,53
5174320AA         ,"PIN KIT,CALIPER",55
5174321AA         ,"CLIP, BRAKE    ",10
5174330AC         ,"BOOT KIT, CALIP",16
5174332AA         ,"PIN SET,CALIPER",142
5174333AA         ,"CLIP, CALIPER  ",20
5174358AA         ,"FAN MODULE,COOL",4
5174406AA         ,"TAIL LAMP, R   ",12
5174407AA         ,"TAIL LAMP, L   ",12
5174876AA         ,"BLADE, WIPER   ",7
5174877AA         ,"WIPER ARM, REAR",39
5175093AA         ,MASTER CYLINDER,256
5175429AB         ,"FILTER, FUEL   ",381
5175510AA         ,"CHAIN, TIMING  ",175
5175571AA         ,"FILTER, OIL    ",462
5175580AA         ,"PUMP, WATER    ",197
5175583AB         ,THERMOSTAT     ,224
5175589AA         ,"PULLEY, IDLER  ",981
5175732AA         ,MASTER CYLINDER,183
5175980K          ,"BRG. SET, CRANK",6
5179011AA         ,"FILTER, FUEL   ",-15
5179153AC         ,"PUMP, WASHER   ",798
5179267AC         ,FILTER KIT     ,229
5179334AB         ,SHOE & LINING  ,40
5179511AA         ,CYLINDER KIT   ,35
5179593AA         ,"PLUG, CAMSHAFT ",3356
5179730AA         ,"CALIPER, BRAKE ",416
5179731AA         ,"CALIPER, BRAKE ",516
5179797AA         ,DAMPER         ,104
5179985AA         ,"MODULE, BLOWER ",212
5180606AB         ,"STRUT, TENSION ",664
5180607AB         ,"STRUT, TENSION ",388
5180731AC         ,"ISOLATOR,CRADLE",812
5181512AB         ,"ROTOR, REAR    ",8
5181513AC         ,"ROTOR, FRONT   ",22
5182021AB         ,FOG LAMP       ,24
5182025AA         ,FOG LAMP       ,2
5182026AA         ,"LAMP, FRONT FOG",22
5182174AA         ,"MIRROR, RIGHT  ",3
5182175AA         ,"MIRROR, LEFT   ",6
5182183AA         ,"MIRROR, LEFT   ",23
5182439AA         ,WIPER BLADE    ,3
5182534AD         ,"TAIL LAMP, R   ",4
